Agent Name,Agent Company,price,Address Line 1,Address Line 2,bed,bath,parking,floor_space,region,latitude,longitude
Kim Te,Motion Property,480.0,"104A/2A Duffy Street,",ESSENDON NORTH VIC 3041,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7133,144.8969
Queanbeyan Property Management,Blackshaw Queanbeyan & Jerrabomberra,590.0,"226/7 Irving Street,",PHILLIP ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
Tim Miosge,Cream Residential,400.0,"11b/30 Launceston Street,",LYONS ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
,,1050.0,"30 Downes Place,",HUGHES ACT 2605,4.0,3.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3305307,149.1020684
Tim Miosge,Cream Residential,680.0,"74 Launceston Street,",LYONS ACT 2606,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,500.0,"313/8 Webb Road,",AIRPORT WEST VIC 3042,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7159629,144.8896322
Paul Kerin,EnVogue Property Management,625.0,"5/88 Julia Flynn Avenue,",ISAACS ACT 2607,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3643084,149.1106254
Paul Kerin,EnVogue Property Management,600.0,"56/26 Marie Little Crescent,",DENMAN PROSPECT ACT 2611,2.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.302295,149.0322341
Bernadette Clayton,Belle Property Hunter Region,480.0,"15 Armidale Street,",ABERMAIN NSW 2326,2.0,1.0,,,latrobe-valley-vicwangaratta-vic,-32.8058546,151.4252653
Kimberly Castle,AM Property Agency,400.0,"609/220 Melrose Drive,",PHILLIP ACT 2606,1.0,1.0,,,latrobe-valley-vicwangaratta-vic,-35.3368413,149.0858351
Property Management,Blackshaw Woden,740.0,"9/11 Castan Street,",COOMBS ACT 2611,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.317628,149.0425744
Daniel Hatchuel,Performance Asset Management Melbourne,900.0,"58 Argyle Street,",MOONEE PONDS VIC 3039,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-37.7679089,144.9071296
HomeGround Enquiries,HomeGround Real Estate Canberra,800.0,"15 Shepherd Street,",PEARCE ACT 2607,4.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3621994,149.0825945
Leasing Team,LJ Hooker Belconnen,460.0,"2013/120 Eastern Valley Way,",BELCONNEN ACT 2617,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.2199,149.0869
Tim Miosge,Cream Residential,550.0,"192/7 Irving Street,",PHILLIP ACT 2606,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
Angela Weatherill,CTC Property Group,600.0,"13/86 Mawson Drive,",MAWSON ACT 2607,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.364237,149.0929098
Michael Guneratne,Hayman Partners,590.0,"296/7 Irving Street,",PHILLIP ACT 2606,2.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
Brittinee Smith,Ray White Canberra,600.0,"6/9 Maria Place,",LYONS ACT 2606,2.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3465785,149.0794527
Stacie Maher,Ray White Brookwater and Greater Springfield,600.0,"28 Beaming Road,",RIPLEY QLD 4306,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,47.55831,8.40474
Client Concierge,The Property Collective,530.0,"2,2,1/220 Melrose Drive,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3406,149.074
Leasing Department,Vanilla Rentals,680.0,"4 Aspen Court,",REGENCY DOWNS QLD 4341,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-27.5185352,152.4475326
Rose,Distinct,700.0,"41/2 Foulkes Street,",DENMAN PROSPECT ACT 2611,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3008983,149.0302502
Danielle Coady,Element Property Services,630.0,"Unit 207/43 Arthur Blakeley Way,",COOMBS ACT 2611,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3503,149.0155
Lee Forbes,McGrath Hunter Valley,480.0,"2A Sawyer Street,",PAXTON NSW 2325,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.9036435,151.2871318
Ned Hibbert,Maloney's the Estate Agent,470.0,"5/78 Hodgson Crescent,",PEARCE ACT 2607,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3572232,149.0881052
Leasing Agent,Bolton & Co O'Connor,475.0,"5/10 Tank St,",PHILLIP ACT 2606,1.0,1.0,1.0,"1,367m²",latrobe-valley-vicwangaratta-vic,-35.3468583,149.0948472
Alicia Hopgood,,650.0,"126 Mt Alexander Road,",TRAVANCORE VIC 3032,2.0,1.0,,,latrobe-valley-vicwangaratta-vic,-37.7827657,144.9346085
Kelly Smyth,,700.0,"6 Pankhurst Avenue,",NORTH ROTHBURY NSW 2335,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,46.58311,6.88295
Catherine Walter,,540.0,"2/22 Marguerite St,",RANELAGH TAS 7109,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-43.0069653,147.041656
Catherine Walter,,250.0,"2/60 Pottery Rd,",DOVER TAS 7117,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-43.32535,147.0009739
Kelly Smyth,,850.0,"11 Wesley Street,",BOLWARRA HEIGHTS NSW 2320,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-32.6994627,151.5863782
Shikayla Pike,,420.0,"2/1 Gant Street,",LENAH VALLEY TAS 7008,1.0,1.0,1.0,53m²,latrobe-valley-vicwangaratta-vic,-42.8634275,147.2976577
Bradley Shadlow,,600.0,"26 Evatt Street,",PELAW MAIN NSW 2327,4.0,2.0,2.0,556m²,latrobe-valley-vicwangaratta-vic,-32.83779,151.48151
Cooper Cavallo,,610.0,"405/9 Shuter Street,",MOONEE PONDS VIC 3039,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7675792,144.9207019
Ryan Mitchell,,520.0,"32/270 Wollombi Road,",BELLBIRD NSW 2325,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-32.8521292,151.327002
Ryan Mitchell,,440.0,"2 Jersey Place,",MUSWELLBROOK NSW 2333,3.0,1.0,2.0,712m²,latrobe-valley-vicwangaratta-vic,-32.2765009,150.8810529
Tomeeka Zielinski,,670.0,"7 Blacksmith Street,",CLIFTLEIGH NSW 2321,4.0,2.0,2.0,451m²,latrobe-valley-vicwangaratta-vic,-32.7893663,151.5128925
Ryan Mitchell,,550.0,"1/71 Osborn Avenue,",MUSWELLBROOK NSW 2333,3.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.2783348,150.8879675
Meleah Morris,,430.0,"1/20 Justine Parade,",RUTHERFORD NSW 2320,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.7090222,151.519136
Sylvia Mesoina,,1200.0,"3A Bain Place,",DUNDAS VALLEY NSW 2117,4.0,3.0,2.0,,latrobe-valley-vicwangaratta-vic,-33.793335,151.057577
Laura Kelly,,1050.0,"68 Ivy Street,",DARLINGTON NSW 2330,3.0,1.0,,,latrobe-valley-vicwangaratta-vic,-33.8900487,151.1956231
Cooper Cavallo,,475.0,"7/21 Moore Street,",MOONEE PONDS VIC 3039,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7685092,144.9200385
Yejin (Jenny) Seol,,670.0,"61 Supply Street,",DUNDAS VALLEY NSW 2117,3.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-33.788048,151.05522
Jasmine Wheeler,,400.0,"1/192A Chandlers Hill Road,",HAPPY VALLEY SA 5159,1.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.0804478,138.5675526
Natalie Fehlberg,,460.0,"77 Charlotte Street,",NEW NORFOLK TAS 7140,3.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-42.7891229,147.0548326
Bradley Shadlow,,600.0,"35 Devon Street,",GRETA NSW 2334,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-32.6717918,151.3862909
Erin Slade,,440.0,"106 Maitland Street,",MUSWELLBROOK NSW 2333,3.0,1.0,,,latrobe-valley-vicwangaratta-vic,-32.269738,150.8882181
Natalie Scinto,,480.0,"44 Flockhart Avenue,",VALLEY VIEW SA 5093,3.0,1.0,4.0,,latrobe-valley-vicwangaratta-vic,-34.8415355,138.6704047
Lucy Grice,,540.0,"77 Native Corners Road,",CAMPANIA TAS 7026,3.0,2.0,,,latrobe-valley-vicwangaratta-vic,-42.6520866,147.4056027
Renee Moore,,620.0,"16 Royston Circuit,",FARLEY NSW 2320,4.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.7295806,151.5109152
Bradley Shadlow,,460.0,"7B Jersey Street,",GILLIESTON HEIGHTS NSW 2321,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.768159,151.523305
Belinda Bean,,1050.0,"12 O'Connell Place,",RED HILL QLD 4059,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-27.4561038,153.0048394
Bradley Shadlow,,670.0,"9 Lapwing Street,",ABERGLASSLYN NSW 2320,4.0,2.0,2.0,495m²,latrobe-valley-vicwangaratta-vic,-32.6934593,151.546537
Zac Keltie,,850.0,"14 Dickens Street,",MOONEE PONDS VIC 3039,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7717185,144.9272268
Jeremy Paikaew,,675.0,"1713/179 Alfred Street,",FORTITUDE VALLEY QLD 4006,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,47.35156,8.10669
Kelly Smyth,,750.0,"86 Rigby Drive,",NORTH ROTHBURY NSW 2335,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,46.58311,6.88295
Carol Hartlett,,580.0,"19 Stone Road,",HAPPY VALLEY SA 5159,3.0,1.0,4.0,,latrobe-valley-vicwangaratta-vic,-35.0814718,138.5622385
Erin Slade,,550.0,"2/86 Tindale Street,",MUSWELLBROOK NSW 2333,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-32.2737441,150.8826497
Tabi Yazdi,,1160.0,"11505/5 Sam Sing Street,",WATERLOO NSW 2017,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,70.4991,23.97393
Winnie Wong,,,"47 Alexander Street,",DUNDAS VALLEY NSW 2117,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-33.787647,151.053962
Casey Blaine,,420.0,"5/8 Dale St,",KENNINGTON VIC 3550,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-36.7612758,144.3023453
Jasmine Wheeler,,675.0,"4 Fairbrother Drive,",HAPPY VALLEY SA 5159,3.0,1.0,3.0,873m²,latrobe-valley-vicwangaratta-vic,-35.0870965,138.5913009
Cassandra Ambrose,,525.0,"7 Heath Street,",BEGA NSW 2550,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-36.6756663,149.8366853
Tyler Fardell,,585.0,"26 Auburn Street,",GILLIESTON HEIGHTS NSW 2321,4.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.7674732,151.5243401
Tracey Coe,,550.0,"1671a Nowra Road,",FITZROY FALLS NSW 2577,3.0,1.0,,,latrobe-valley-vicwangaratta-vic,-34.65,150.48333
Breanna Wilson,,530.0,"2/9 Windermere Road,",LOCHINVAR NSW 2321,3.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.6994169,151.445072
,,560.0,"6 Latrobe Avenue,",PAKENHAM VIC 3810,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-38.0715931,145.451367
,,500.0,"7/164 Napier Street,",ESSENDON VIC 3040,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7440895,144.9197012
,,895.0,"28 Glenview Road,",STRATHMORE VIC 3041,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-37.7373213,144.9207357
,,530.0,"902/19 Russell Street,",ESSENDON VIC 3040,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7555686,144.9167994
,,650.0,"7/11 Hodnet Bend,",THE VINES WA 6069,3.0,2.0,2.0,270m²,latrobe-valley-vicwangaratta-vic,-31.7623708,115.9872899
,,580.0,"21 Manchado Street,",TARNEIT VIC 3029,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-37.8826,144.7003
,,410.0,"5/48 Scotia Street,",MOONEE PONDS VIC 3039,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7703515,144.9052814
,,700.0,"401/9 Shuter Street,",MOONEE PONDS VIC 3039,2.0,2.0,1.0,7m²,latrobe-valley-vicwangaratta-vic,-37.7675792,144.9207019
,,430.0,"134 Warana Drive,",HAMPTON PARK VIC 3976,3.0,1.0,1.0,544m²,latrobe-valley-vicwangaratta-vic,-38.0330421,145.2799145
,,740.0,"41 Clydebank Road,",ESSENDON WEST VIC 3040,3.0,1.0,3.0,,latrobe-valley-vicwangaratta-vic,-37.7559997,144.8881244
,,850.0,"1/7A Wiseman Court,",ESSENDON VIC 3040,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-37.7521745,144.9267519
,,630.0,"1/56 Glenard Drive,",EAGLEMONT VIC 3084,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7612356,145.0721257
,,795.0,"69 Ferry Pde,",NORTH ROTHBURY NSW 2335,5.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,46.58311,6.88295
,,460.0,"3 Bent Street,",TAREE NSW 2430,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-31.9044504,152.4716147
,,490.0,"204/35 Hall Street,",MOONEE PONDS VIC 3039,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7661867,144.9232616
,,575.0,"18/43 Raleigh Street,",ESSENDON VIC 3040,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7534371,144.9221626
,,700.0,"52 Bulbul Cresent,",FLETCHER NSW 2287,3.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.87232,151.64008
,,800.0,"811/35 Furzer Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,500.0,"6/5 Parkhill Street,",PEARCE ACT 2607,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3629171,149.0807051
,,540.0,"306/11 Launceston Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3413702,149.086896
,,1200.0,"10 Baas Becking Street,",WHITLAM ACT 2611,4.0,3.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.2743252,149.0445177
,,650.0,"4/61 Launceston Street,",LYONS ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
,,470.0,"706 Tinonee Road,",MONDROOK NSW 2430,3.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-31.9024341,152.3917953
,,650.0,"20 Jacaranda Avenue,",TAREE NSW 2430,4.0,3.0,5.0,,latrobe-valley-vicwangaratta-vic,-31.8934285,152.4833005
,,580.0,"303/76 Steve Irwin Avenue,",WRIGHT ACT 2611,2.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3197585,149.0371889
,,800.0,"1506/15 Bowes Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,690.0,"30/2 Hopegood Place,",GARRAN ACT 2605,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3438019,149.1067768
,,710.0,"1810/49 Furzer Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,650.0,"1521D Moss Vale Rd,",KANGAROO VALLEY NSW 2577,4.0,2.0,,,latrobe-valley-vicwangaratta-vic,-34.7271908,150.5207587
,,620.0,"4 Horrocks Street,",TORRENS ACT 2607,3.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3690238,149.0882282
,,460.0,"268/7 Irving Street,",PHILLIP ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
,,540.0,"98/41 Philip Hodgins Street,",WRIGHT ACT 2611,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3201139,149.0319572
,,500.0,"8/9 Farrer Place,",FARRER ACT 2607,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3757398,149.1015688
,,620.0,"15 Sulman Place,",PHILLIP ACT 2606,2.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3527116,149.0962572
,,1300.0,"89 Fox Valley Rd,",WAHROONGA NSW 2076,4.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-33.727729,151.110985
,,1000.0,"3 Gouger Street,",TORRENS ACT 2607,5.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3770862,149.0870009
,,580.0,"711/15 Bowes Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,430.0,"141/41 Philip Hodgins Street,",WRIGHT ACT 2611,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3201139,149.0319572
,,950.0,"1/266 Abercrombie Street,",DARLINGTON NSW 2330,2.0,1.0,,,latrobe-valley-vicwangaratta-vic,-33.8911102,151.1961307
,,760.0,"10 Pope Street,",HUGHES ACT 2605,3.0,1.0,3.0,"1,114m²",latrobe-valley-vicwangaratta-vic,-35.3368605,149.0910231
,,530.0,"313/1050 Mt Alexander Road,",ESSENDON VIC 3040,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7538,144.8883
,,595.0,"311/333 Ascot Vale Road,",MOONEE PONDS VIC 3039,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7667,144.9167
,,930.0,"117 Ada Norris Avenue,",DENMAN PROSPECT ACT 2611,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.303567,149.0187725
,,1900.0,"13 Amanda Street,",BROOKFIELD QLD 4069,7.0,5.0,9.0,1.85ha,latrobe-valley-vicwangaratta-vic,-27.5099123,152.9258298
,,1150.0,"2203/49 Furzer Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,1100.0,"2202/49 Furzer Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3406,149.074
,,500.0,"146/7 Irving Street,",PHILLIP ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
,,700.0,"4a Harvey Road,",FOREST HILL QLD 4342,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-27.5721472,152.3867092
,,720.0,"621/15 Bowes Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,690.0,"6A Esk Place,",LYONS ACT 2606,4.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3352501,149.0715599
,,240.0,"63 Pintail Drive,",MELTON SOUTH VIC 3338,1.0,1.0,,,latrobe-valley-vicwangaratta-vic,-37.719208,144.5789327
,,250.0,"8 Jacobena Road,",MELTON SOUTH VIC 3338,1.0,1.0,,,latrobe-valley-vicwangaratta-vic,-37.7140748,144.5662005
,,380.0,"220 Melrose Drive,",PHILLIP ACT 2606,1.0,1.0,,,latrobe-valley-vicwangaratta-vic,-35.3452346,149.0830029
$620 pw,,620.0,"5A Eldon Place,",LYONS ACT 2606,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3364404,149.0762119
,,675.0,"13 Mawson Drive,",MAWSON ACT 2607,4.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.364237,149.0929098
,,400.0,"67/4 Wilkins Street,",MAWSON ACT 2607,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3695091,149.0992764
,,400.0,"11/a Address Upon Request,",CANNON VALLEY QLD 4800,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-20.28333,148.68333
,,1200.0,"24 Wattle Valley Road,",CANTERBURY VIC 3126,4.0,2.0,,,latrobe-valley-vicwangaratta-vic,-37.8327908,145.0816254
,,1650.0,"16/10 Taronga Place,",O'MALLEY ACT 2606,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3570268,149.1085724
,,500.0,"1A Gerogery Place,",O'MALLEY ACT 2606,1.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3563784,149.1064636
,,400.0,"2 Furzer Street,",PHILLIP ACT 2606,1.0,1.0,,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,560.0,"1317/15 Bowes Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,525.0,"43/G04 Arthur Blakeley Way,",COOMBS ACT 2611,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3159186,149.0373279
,,3500.0,"17 Greville Street,",CLOVELLY NSW 2031,7.0,4.0,2.0,,latrobe-valley-vicwangaratta-vic,-33.9100583,151.2570188
,,550.0,"1705/49 Furzer Street,",PHILLIP ACT 2606,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,570.0,"1703/15 Bowes Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,520.0,"210/55 Collins Street,",ESSENDON VIC 3040,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7467348,144.9072533
,,580.0,"1210/49 Furzer Street,",PHILLIP ACT 2606,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,520.0,"4/6 Antis Street,",PHILLIP ACT 2606,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3459528,149.0955551
,,700.0,"4 Horrocks Street,",TORRENS ACT 2607,3.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3690238,149.0882282
,,645.0,"2 Canterbury Street,",HUGHESDALE VIC 3166,3.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-37.901016,145.0818071
,,700.0,"31/2 Hopegood Place,",GARRAN ACT 2605,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3438019,149.1067768
,,725.0,"14 Besant Street,",PEARCE ACT 2607,4.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3649448,149.0853477
,,710.0,"1510/49 Furzer Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,590.0,"217/2 Terry Connolly Street,",COOMBS ACT 2611,2.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3212648,149.04567
,,560.0,"612/2 Furzer Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,575.0,"Level 15, 1501/2 Furzer Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
$480 per week,,480.0,"49 Furzer Street,",PHILLIP ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,450.0,"1408/49 Furzer Street,",PHILLIP ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,570.0,"110 Paterson Road,",BOLWARRA NSW 2320,3.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.7073157,151.5761053
,,650.0,"16 Launceston Street,",LYONS ACT 2606,3.0,1.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
,,540.0,"1105/49 Furzer Street,",PHILLIP ACT 2606,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3406,149.074
$670.00 weekly,,670.0,"224 GEORGE STREET,",EAST MAITLAND NSW 2323,3.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-32.7526628,151.585183
,,650.0,"309/333 Ascot Vale Road,",MOONEE PONDS VIC 3039,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7676521,144.9248711
,,575.0,"103 Long Gully Road,",ANGASTON SA 5353,4.0,1.0,4.0,,latrobe-valley-vicwangaratta-vic,-34.5243868,139.0395983
,,430.0,"156/41 Philip Hodgins Street,",WRIGHT ACT 2611,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3201139,149.0319572
,,895.0,"12 Engel Street,",COOMBS ACT 2611,4.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3152697,149.0397548
,,430.0,"121/41 Philip Hodgins Street,",WRIGHT ACT 2611,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3201139,149.0319572
,,700.0,"1505/120 Eastern Valley Way,",BELCONNEN ACT 2617,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.2407295,149.0731645
,,1450.0,"5A Stephens Place,",GARRAN ACT 2605,4.0,2.0,4.0,,latrobe-valley-vicwangaratta-vic,-35.3417145,149.1063627
,,790.0,"35/11 Irving Street,",PHILLIP ACT 2606,3.0,2.0,2.0,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
,,535.0,"609/15 Bowes Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436934,149.0861817
,,730.0,"224/109 Manningham St,",PARKVILLE VIC 3052,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7877105,144.9423529
,,665.0,"225/109 Manningham St,",PARKVILLE VIC 3052,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7877105,144.9423529
,,750.0,"403/109 Manningham St,",PARKVILLE VIC 3052,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7877105,144.9423529
,,460.0,"26/11 Hoolihan Street,",DENMAN PROSPECT ACT 2611,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3038769,149.0315702
,,400.0,"105/11 Launceston Street,",PHILLIP ACT 2606,1.0,1.0,,,latrobe-valley-vicwangaratta-vic,-35.3413702,149.086896
,,560.0,"49 Furzer Street,",PHILLIP ACT 2606,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,460.0,"702/49 Furzer Street,",PHILLIP ACT 2606,1.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,580.0,"1006/2 Furzer Street,",PHILLIP ACT 2606,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-35.3436731,149.0842998
,,950.0,"607/109 109 Manningham St,",PARKVILLE VIC 3052,2.0,2.0,1.0,,latrobe-valley-vicwangaratta-vic,-37.7603,144.9502
,,1450.0,"50 Ngunnawal Drive,",ISAACS ACT 2607,5.0,4.0,5.0,,latrobe-valley-vicwangaratta-vic,-35.3767,149.105
,,525.0,"17/13 Devlin Street,",RYDE NSW 2112,2.0,1.0,1.0,,latrobe-valley-vicwangaratta-vic,-33.8168018,151.1025321
