Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$470,"1709/6 Leicester Street,",CARLTON VIC 3053,,,,,colac-vic,-37.802198,144.9607524
,,"$1,100 Per Week","20 Koonawarra St,",CLAYTON VIC 3168,5 Beds,3 Baths,2 Parking,,colac-vic,-37.9117269,145.1244965
,,$400.00 Per Week,"4 Springbank Way,",BROOKFIELD VIC 3338,4 Beds,2 Baths,2 Parking,,colac-vic,-37.7052143,144.5553866
,,"$1,670","29 Drummond street,",CARLTON VIC 3053,7 Beds,3 Baths,2 Parking,290m²,colac-vic,-37.8062068,144.9671839
,,$540,"19 Woolshed Drive,",TRUGANINA VIC 3029,4 Beds,2 Baths,2 Parking,,colac-vic,-37.8205497,144.715242
,,$600 per week,"705/301 King St,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,colac-vic,-37.8124195,144.95398
,,$630 Per Week,"1/48 Aqueduct Road,",LANGWARRIN VIC 3910,3 Beds,2 Baths,2 Parking,,colac-vic,-38.1598954,145.2034778
,,$600 Per Week,"4 Grosset Way,",POINT COOK VIC 3030,4 Beds,3 Baths,2 Parking,,colac-vic,-37.9168714,144.7853747
,,$360 weekly,"125b Robinson Rd,",BARONGAROOK VIC 3249,2 Beds,1 Bath,2 Parking,,colac-vic,-38.41667,143.6
,,670 per week,"306/3 Young Street,",BOX HILL VIC 3128,2 Beds,2 Baths,1 Parking,,colac-vic,-37.8171987,145.1163199
,,$80,"7P5/70 Southbank Boulevard,",SOUTHBANK VIC 3006,1 Bed,1 Bath,1 Parking,,colac-vic,-37.8228,144.9643
,,$580 per week *Partially Furnished*,"802/15 Doepel Way,",DOCKLANDS VIC 3008,1 Bed,1 Bath,− Parking,,colac-vic,-37.8141958,144.9397552
,,$850 Per Week,"44 Kalbian Drive,",CLYDE NORTH VIC 3978,5 Beds,3 Baths,2 Parking,,colac-vic,-38.1107101,145.3328766
,,$200 per week,"1/8 Dodgshun Street,",HOPETOUN VIC 3396,1 Bed,1 Bath,− Parking,,colac-vic,-35.7329759,142.3684652
,,$170 Per Week Bills Included,"6/13 Hewat Drive,",HIGHTON VIC 3216,1 Bed,1 Bath,1 Parking,,colac-vic,-38.1978881,144.308601
,,$550,"2 YAMUNA STREET,",TRUGANINA VIC 3029,4 Beds,2 Baths,1 Parking,,colac-vic,-37.7707982,144.6891122
,,$520,"22 Huntingfield Street,",THORNHILL PARK VIC 3335,4 Beds,2 Baths,1 Parking,,colac-vic,46.4194,14.6936
,,$550,"38 Sadie Avenue,",THORNHILL PARK VIC 3335,4 Beds,2 Baths,1 Parking,,colac-vic,-37.7138206,144.6303421
,,$650,"19 Maroa Street,",TARNEIT VIC 3029,4 Beds,3 Baths,2 Parking,,colac-vic,-37.8630941,144.6495788
,,$50 per week,"Carpark914/33 Blackwood Street,",NORTH MELBOURNE VIC 3051,− 0 Beds,− 0 Baths,1 Parking,,colac-vic,-37.8029,144.9482
,,$300 per week,"184 Dorset Road,",BORONIA VIC 3155,1 Bed,1 Bath,− Parking,,colac-vic,-37.8621273,145.2855526
,,$60,"Carpark3605/639 Lonsdale Street,",MELBOURNE VIC 3000,− 0 Beds,− 0 Baths,1 Parking,,colac-vic,-37.814,144.9633
,,$69 per week,"Carpark224/23 Blackwood Street,",NORTH MELBOURNE VIC 3051,− 0 Beds,− 0 Baths,1 Parking,,colac-vic,-37.8029,144.9482
,,$60 per week,"Carpark613/33 Blackwood Street,",NORTH MELBOURNE VIC 3051,− 0 Beds,− 0 Baths,1 Parking,,colac-vic,-37.8029,144.9482
,,$50 per week,"Carpark450/401 Docklands Drive,",DOCKLANDS VIC 3008,− 0 Beds,− 0 Baths,1 Parking,,colac-vic,-37.8149,144.9505
,,$60 per week,"Carpark2810/81 A'Beckett Street,",MELBOURNE VIC 3000,− 0 Beds,− 0 Baths,1 Parking,,colac-vic,-37.814,144.9633
,,$70 per week,"Carpark402/135 A'Beckett Street,",MELBOURNE VIC 3000,− 0 Beds,− 0 Baths,1 Parking,,colac-vic,-37.814,144.9633
,,$780,"2B2B/259 Normanby Road,",SOUTHBANK VIC 3006,2 Beds,2 Baths,1 Parking,,colac-vic,-37.8228,144.9643
