Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$475 weekly,"G02/299 Maribyrnong Road,",ASCOT VALE VIC 3032,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7808,144.9354
,,$475 weekly,"G01/299 Maribyrnong Rd,",ASCOT VALE VIC 3032,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7808,144.9354
,,$420 p/week,"14 Jacobs Street,",SPRINGTON SA 5235,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-34.7064698,139.0870812
,,$380pw / $1651pcm,"2/62 Bloomfield Road,",ASCOT VALE VIC 3032,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7765083,144.919374
,,$600.00 Per Week - Water and electricity included.,"13 Yilgarn Avenue,",CESSNOCK NSW 2325,3 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.828155,151.3677805
,,$330.00 Per Week - Application Approved,"4/28 Skellatar Street,",MUSWELLBROOK NSW 2333,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.2704986,150.882928
,,$850,"182 Kiewa Valley Highway,",TAWONGA VIC 3697,4 Beds,2 Baths,2 Parking,"1,382m²",latrobe-valley-vicwangaratta-vic,-36.7106684,147.1430948
,,$770.00,"1/135 Bradshaw Street,",ESSENDON VIC 3040,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.7425802,144.8949781
,,$550,"18 Graham Court,",NEW NORFOLK TAS 7140,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-42.7735684,147.0426583
,,$960,"32 Nicholson Street,",ESSENDON VIC 3040,4 Beds,2 Baths,3 Parking,,latrobe-valley-vicwangaratta-vic,-37.7563519,144.9202817
,,$525,"430 Bunjim Valley Drive,",PUTTY NSW 2330,2 Beds,1 Bath,− Parking,"6,070m²",latrobe-valley-vicwangaratta-vic,-33.0087358,150.7176482
,,$575,"10 Wildmore Crescent,",EXETER TAS 7275,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-41.2960328,146.9517468
,,$450 Per Week,"65 Cross's Road,",TRARALGON VIC 3844,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-38.1838263,146.52084
