Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$410 Per Week,"11 Delungra Avenue,",CLIFTON SPRINGS VIC 3222,3 Beds,1 Bath,1 Parking,586m²,geelong-vic,-38.1565603,144.5812496
,,$295 per week,"3/2A Staverly Road,",HERNE HILL VIC 3218,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1333163,144.3283064
,,$480 per week,"120 Greaves Street North,",WERRIBEE VIC 3030,3 Beds,2 Baths,1 Parking,,geelong-vic,-37.8915981,144.6414073
,,$420.00,"243 Wilsons Road,",WHITTINGTON VIC 3219,3 Beds,1 Bath,1 Parking,,geelong-vic,-38.1756433,144.3904768
,,$380,"3 Hibiscus Crescent,",NEWCOMB VIC 3219,3 Beds,1 Bath,1 Parking,,geelong-vic,-38.1685562,144.3947693
,,$440 pw,"1/3 Mack Court,",BELMONT VIC 3216,2 Beds,1 Bath,1 Parking,,geelong-vic,-38.1824216,144.3466458
,,$375,"12/10 Fitzroy Street,",GEELONG VIC 3220,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1529466,144.3695721
,,$495,"5 Cabernet Court,",WAURN PONDS VIC 3216,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.2064486,144.310069
,,$520.00,"6 Orland Circuit,",CHARLEMONT VIC 3217,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.2135675,144.3695719
,,$560.00,"8/242 Ryrie Street,",GEELONG VIC 3220,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.1509156,144.3629767
,,$495.00 per week,"102 Naturaliste Way,",ARMSTRONG CREEK VIC 3217,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.2419448,144.3779959
,,$400,"2/51 Vistula Avenue,",BELL PARK VIC 3215,2 Beds,1 Bath,2 Parking,,geelong-vic,-38.1154116,144.3390282
,,$515,"1 Ryong Street,",GROVEDALE VIC 3216,3 Beds,2 Baths,4 Parking,,geelong-vic,-38.2094992,144.3365132
,,$520.00 per week,"1327 Geelong Road,",MOUNT CLEAR VIC 3350,5 Beds,2 Baths,1 Parking,,geelong-vic,-37.6026609,143.8686287
,,$510 per week,"207/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,,geelong-vic,-37.802198,144.9607524
,,$300,"4/32-34 Donax Road,",CORIO VIC 3214,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1014,144.3542
,,$450 per week,"Unit 1113/6 Leicester St,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,,geelong-vic,-37.8004,144.9684
,,$570 weekly,"36 Thomson Dr,",BARWON HEADS VIC 3227,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.2792222,144.485523
,,$620,"2 Moondara Court,",LEOPOLD VIC 3224,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.1885936,144.4768064
,,590pw,"53 Eminence Street,",MOUNT DUNEED VIC 3217,4 Beds,2 Baths,2 Parking,446m²,geelong-vic,-38.2172337,144.3249039
,,$725 per week,"3/462 Como Parade West,",MORDIALLOC VIC 3195,2 Beds,2 Baths,1 Parking,,geelong-vic,-37.9973332,145.0807967
,,$595 per week,"3/71-75 Pt Lonsdale Road,",POINT LONSDALE VIC 3225,2 Beds,2 Baths,1 Parking,,geelong-vic,-38.2912445,144.6140229
,,$670 per week,"37 Golightly Street,",POINT LONSDALE VIC 3225,3 Beds,2 Baths,2 Parking,520m²,geelong-vic,-38.2829196,144.6069748
,,$500 weekly,"6/10 Grandview Pde,",BARWON HEADS VIC 3227,2 Beds,1 Bath,1 Parking,,geelong-vic,-38.2801286,144.4928703
,,$495.00,"5 Revival Street,",CHARLEMONT VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2203744,144.3679641
,,$450 per week,"2/16 Nott St,",BELMONT VIC 3216,2 Beds,1 Bath,1 Parking,,geelong-vic,-38.1853131,144.3355166
,,$520.00 per week,"33 Snedden Street,",ARMSTRONG CREEK VIC 3217,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.2299503,144.3621942
,,$825 p/w,"11-19 Clarendon Road,",DRYSDALE VIC 3222,"7,987m²",,,,geelong-vic,-38.1788416,144.579153
,,$430.00 per week,"55 Solar Drive,",WHITTINGTON VIC 3219,3 Beds,1 Bath,2 Parking,571m²,geelong-vic,-38.1808636,144.3946424
,,$550 pw,"7 Sherman Court,",LOVELY BANKS VIC 3213,3 Beds,1 Bath,2 Parking,,geelong-vic,-38.0893104,144.3342784
,,$560.00 per week,"12 Gymea Street,",MOUNT DUNEED VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2163514,144.3326238
,,***APPLICATIONS CLOSED - UNDER OFFER***,"24 Bolton Street,",ARMSTRONG CREEK VIC 3217,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.2415476,144.3610703
,,$520 Per Week,"60 Woodland Street,",LARA VIC 3212,3 Beds,2 Baths,1 Parking,262m²,geelong-vic,-38.0148155,144.3709647
,,$560.00,"17 Deloraine Street,",ARMSTRONG CREEK VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2444882,144.3698748
,,$420.00 per week,"9 Ontario Avenue,",CORIO VIC 3214,3 Beds,1 Bath,1 Parking,,geelong-vic,-38.0813705,144.3595154
,,$420.00 per week,"7 Ontario Avenue,",CORIO VIC 3214,3 Beds,1 Bath,3 Parking,,geelong-vic,-38.0814618,144.3594991
,,$520,"3/220 South Valley Road,",HIGHTON VIC 3216,4 Beds,2 Baths,4 Parking,,geelong-vic,-38.1810122,144.3168363
,,$330,"2/104 Isabella Street,",GEELONG WEST VIC 3218,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1330724,144.3471065
,,$320,"3/13 Norwood Street,",HERNE HILL VIC 3218,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1382466,144.3243484
