Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$610.00,"5 Amoore Avenue,",HIGHTON VIC 3216,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.1833911,144.3230622
,,$250 weekly,"2/61 Tucker Street,",BREAKWATER VIC 3219,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1774049,144.3683134
,,$625 per week,"16 Cockle Crescent,",POINT LONSDALE VIC 3225,4 Beds,2 Baths,2 Parking,400m²,geelong-vic,-38.2676957,144.6096064
,,$380.00,"4 Eumeralla Street,",CORIO VIC 3214,3 Beds,1 Bath,2 Parking,,geelong-vic,-38.0773432,144.3521631
,,$600,"5 Batlow Street,",ARMSTRONG CREEK VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2284495,144.3489858
,,$460.00,"32 Foster Street,",SOUTH GEELONG VIC 3220,3 Beds,1 Bath,1 Parking,,geelong-vic,-38.1596537,144.3551086
,,$530.00,"4 Coakley Crescent,",LOVELY BANKS VIC 3213,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.0879632,144.3353389
,,$430 pw,"1/21 Evans Street,",BELMONT VIC 3216,2 Beds,1 Bath,1 Parking,,geelong-vic,-38.1784954,144.3455801
,,$620,"13 Brown Street,",EAST GEELONG VIC 3219,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.159973,144.3731392
,,$450 weekly,"134 Barrands Ln,",DRYSDALE VIC 3222,2 Beds,2 Baths,2 Parking,,geelong-vic,-38.1701199,144.566929
,,$450.00,"6 Marilyn Close,",CORIO VIC 3214,3 Beds,1 Bath,2 Parking,,geelong-vic,-38.0807091,144.3457295
,,$500 per week,"12A Konrads Crescent,",HIGHTON VIC 3216,3 Beds,2 Baths,2 Parking,,geelong-vic,-38.1843079,144.3186844
,,Under Application,"5 Pescia Ct,",LEOPOLD VIC 3224,4 Beds,2 Baths,3 Parking,588m²,geelong-vic,-38.1814094,144.4812452
,,$440,"2C Wren Street,",NORLANE VIC 3214,2 Beds,2 Baths,1 Parking,,geelong-vic,-38.0851039,144.352038
,,Under Application - Deposit Taken,"702/845-851 Whitehorse Rd,",BOX HILL VIC 3128,3 Beds,2 Baths,1 Parking,,geelong-vic,-37.8256,145.1232
,,$310 weekly,"2/22 Northam Avenue,",HIGHTON VIC 3216,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1857754,144.3216058
,,$480 per week,"19 Ponds Drive,",LARA VIC 3212,3 Beds,1 Bath,1 Parking,862m²,geelong-vic,-38.0191092,144.3999332
,,$750 - Large Warehouse-Style Apartment!,"35/1 Flagstaff Lane,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,geelong-vic,-37.8095186,144.9519321
,,$350 weekly,"3/24 Elizabeth St,",GEELONG WEST VIC 3218,1 Bed,1 Bath,1 Parking,,geelong-vic,-38.1365121,144.34061
,,$560 weekly,"1006/545 Station St,",BOX HILL VIC 3128,1 Bed,1 Bath,1 Parking,,geelong-vic,-37.8256,145.1232
,,$490.00 per week,"20 Orbit Drive,",WHITTINGTON VIC 3219,4 Beds,2 Baths,2 Parking,775m²,geelong-vic,-38.1754888,144.3950676
,,$480,"16 Zoe Street,",ROCKBANK VIC 3335,3 Beds,2 Baths,2 Parking,,geelong-vic,-37.7349313,144.6608428
,,$470,"27 Edison Road,",BELL POST HILL VIC 3215,3 Beds,1 Bath,1 Parking,,geelong-vic,-38.0935591,144.327495
,,$620 per week,"8 Miriam Court,",OCEAN GROVE VIC 3226,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2616068,144.5455351
,,$565 per week,"11 Sophie Way,",ARMSTRONG CREEK VIC 3217,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.2395458,144.3383485
,,$550.00 per week,"13 Darryl Street,",PORTARLINGTON VIC 3223,4 Beds,2 Baths,2 Parking,,geelong-vic,-38.1210768,144.6395345
