Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Alvin Vitor,Buxton Real Estate Sandringham,$570.00,"2/172 Bay Road,",SANDRINGHAM VIC 3191,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.9517592,145.0041366
Kim Te,Motion Property,$575 per week,"301A/80-90 La Scala Avenue,",MARIBYRNONG VIC 3032,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.7808,144.9354
Christian Neofotistos,Ray White Brunswick,$550,"214/358-360 Moreland Road,",BRUNSWICK WEST VIC 3055,2 Beds,2 Baths,2 Parking,,melbourne-vic,-37.7603,144.9502
Mary Corso,Victoria Real Estate Agency Pty Ltd,$530 PER WEEK,"11/46 Botanical Drive,",LARA VIC 3212,3 Beds,3 Baths,2 Parking,,melbourne-vic,-38.0127928,144.3820311
Mary Corso,Victoria Real Estate Agency Pty Ltd,$530 PER WEEK,"10/46 Botanical Drive,",LARA VIC 3212,3 Beds,3 Baths,2 Parking,,melbourne-vic,-38.0127928,144.3820311
Nicole Pedreros Gonzalez,Dingle Partners,$725 pw,"1007/565 Flinders Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8209843,144.9550348
Kim Te,Motion Property,$590 per week,"1002/1 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.7995452,144.909498
Jack Alexander,Marshall White Port Phillip,"$1,075.00","71 Swallow Street,",PORT MELBOURNE VIC 3207,3 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8380731,144.9328397
Jasmine Palioportas,Buxton Oakleigh,$460.00,"G01/519-521 High Street Road,",MOUNT WAVERLEY VIC 3149,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8771,145.1294
Precinct Leasing,Precinct Estate Agents,$495 per week,"8/50 Rosslyn Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,,melbourne-vic,-37.8092218,144.9496359
