Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Tom Koller,Biggin & Scott Stonnington,$750 Per Week,"1/1 York Place,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8507814,144.9986583
Angus Brayshaw,Richardson & Wrench Projects Victoria,$700 per week,"5/380 Saint Georges Road,",FITZROY NORTH VIC 3068,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.7865,144.9897
Angus Brayshaw,Richardson & Wrench Projects Victoria,$640 per week,"205/2 McCutcheon Street,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.7677023,144.999739
Thea Toogood,Jellis Craig & Company Pty Ltd,$450.00,"12/14 May Road,",TOORAK VIC 3142,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8473621,145.0051646
Daniel Hamilton,McGrath,$525 pw,"5/95 Osborne Street,",SOUTH YARRA VIC 3141,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8395592,144.9915769
Lynn Xu,Buxton Ashburton,$595.00,"615 Waverley Road,",MALVERN EAST VIC 3145,3 Beds,1 Bath,2 Parking,,melbourne-vic,-37.8756918,145.0459212
Tom Koller,Biggin & Scott Stonnington,$675 Per Week,"601/15 Clifton Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,− Parking,,melbourne-vic,-37.8510689,144.9952245
Zoe Swinnerton,Gary Peer,$385 weekly,"9/60 Mimosa Road,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8905289,145.0520577
Conny Yang,Waterdale Property Agent Pty Ltd,$550 per Week,"1710/65 Dudley Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic,-37.8099727,144.9503065
Daniel Hamilton,McGrath,Contact Agent,"5/23-25 Raleigh Street,",MALVERN VIC 3144,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8512,145.0317
Renee Whitehouse,Harris Property - Melbourne,$750 weekly,"504/627 Victoria St,",ABBOTSFORD VIC 3067,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8046,144.9998
Cameron  Gibson,Buxton Stonnington,$780.00,"611/1 Roy Street,",MELBOURNE VIC 3004,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8460046,144.9790187
Lauren Jackson,Belle Property Glen Iris,$600 per week,"3/36 Paxton Street,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.870265,145.0500689
Lorena Lore,GBE Property Investments,$600,"1607/27 Little Collins Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic,-37.815965,144.9610771
Conny Yang,Waterdale Property Agent Pty Ltd,$700 per Week,"404/65 Dudley Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8099727,144.9503065
Jasmine Palioportas,Buxton Camberwell,$595.00,"31 Leopold Street,",BURWOOD VIC 3125,3 Beds,1 Bath,2 Parking,,melbourne-vic,-37.8589896,145.0941949
Jade Sterland,Jellis Craig Port Phillip Pty Ltd,$850.00 per week,"37 Armstrong Street,",MIDDLE PARK VIC 3206,3 Beds,1 Bath,− Parking,,melbourne-vic,-37.8512585,144.9640087
Oscar Sturm,Jellis Craig & Company Pty Ltd,$800.00,"604/657 Chapel Street,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8333,144.9833
Neil Harris,Marshall White Port Phillip,$690.00,"3303/180 City Road,",SOUTHBANK VIC 3006,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8228,144.9643
Dragan Mrkela,Biggin Scott Elsternwick,$550 per week,"28/2 Gordon Street,",ELSTERNWICK VIC 3185,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8773498,145.0008685
Tina Kelly,Chisholm & Gamon Elwood,$560 weekly,"310/126 Chapel Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8682407,144.9903822
Kerttu  Luik,Buxton St Kilda,"$1,590.00","164 Bank Street,",SOUTH MELBOURNE VIC 3205,4 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8339446,144.9616465
Lynn Xu,Buxton Ashburton,$690.00,"2/71 Kirkwood Road,",SEAFORD VIC 3198,3 Beds,2 Baths,2 Parking,,melbourne-vic,-38.1049,145.1382
Karen Pearce,Thomson,$490 per week,"2/30 Westbury Street,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.861953,144.9967151
Michelle Murray,Buxton Real Estate Brighton,"$3,450.00","145 Male Street,",BRIGHTON VIC 3186,4 Beds,3 Baths,3 Parking,,melbourne-vic,-37.9080924,145.0052672
Oscar Sturm,Jellis Craig & Company Pty Ltd,$750.00,"5/406 Malvern Road,",MALVERN EAST VIC 3145,3 Beds,2 Baths,2 Parking,,melbourne-vic,-37.8705946,145.0616676
Veronica Coco,Buxton Bentleigh Rentals,$520.00,"15/22 Allison Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8818396,145.0097101
Ysabella Dimitrakopoulos,BigginScott Richmond,$550 weekly,"214/30 Burnley Street,",RICHMOND VIC 3121,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8266573,145.0070232
Samridhi Munjal,Dingle Partners,$535 pw,"2503/250 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic,-37.8228,144.9643
Shermta Flomo,Woodards South Yarra,$390 pw,"8/33 Orange Grove,",BALACLAVA VIC 3183,1 Bed,1 Bath,− Parking,,melbourne-vic,-37.8671761,144.9969552
Kim Te,Motion Property,$500 per week,"602/4 Joseph Road,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.7995452,144.909498
Chris Bai,Motion Property,$550 Per Week,"Level 1, 4/12 Powlett Street,",HEIDELBERG VIC 3084,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.7551342,145.0584272
Katie Davidson,Buxton Real Estate Dingley Village,$450.00,"LG1/195 Station Street,",EDITHVALE VIC 3196,2 Beds,1 Bath,1 Parking,,melbourne-vic,-38.0372,145.1097
Katie Love,Hodges Real Estate Sandringham,$520.00,"5/3 Fewster Rd,",HAMPTON VIC 3188,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.9381215,145.0154922
Abir Ayadi,Dingle Partners,$580 pw,"410/21 Plenty Road,",BUNDOORA VIC 3083,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.6973412,145.0592653
