Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$590 per week,"8 Tynong Street,",CROYDON VIC 3136,3 Beds,1 Bath,1 Parking,877m²,bendigo-vic,-37.7875726,145.2787375
,,$500,"4 Waugh Street,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,bendigo-vic,-37.7329611,144.6498316
,,$995,"122A Sussex Street,",EAST VICTORIA PARK WA 6101,4 Beds,2 Baths,2 Parking,,bendigo-vic,-31.9838389,115.9009195
,,$450.00 per week,"5/3 Ryan Street,",NORTH BENDIGO VIC 3550,2 Beds,1 Bath,1 Parking,,bendigo-vic,-36.7454561,144.2830522
,,$600 per week,"6 Athena Way,",STRATHFIELDSAYE VIC 3551,5 Beds,2 Baths,2 Parking,,bendigo-vic,-36.7975232,144.3400794
,,$600 per week,"24 Jarrod Drive,",MCKENZIE HILL VIC 3451,4 Beds,2 Baths,2 Parking,,bendigo-vic,-37.0751856,144.1852909
,,$480,"8 Chorley Street,",STRATHTULLOH VIC 3338,4 Beds,2 Baths,1 Parking,,bendigo-vic,-37.7236822,144.596732
,,$510 per week,"7 Waler Street,",AINTREE VIC 3336,3 Beds,2 Baths,2 Parking,,bendigo-vic,-37.72042,144.6689989
,,$470.00 per week,"4 The Terrace,",KENNINGTON VIC 3550,3 Beds,1 Bath,1 Parking,,bendigo-vic,-36.7774413,144.3028518
,,$750 per week,"178 Nicholson St,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,247m²,bendigo-vic,-37.7654728,144.9805539
,,$680 per week,"10/8 Riversdale Road,",BURSWOOD WA 6100,1 Bed,1 Bath,1 Parking,,bendigo-vic,-31.9563359,115.9000791
,,$450 weekly,"601/150 Dudley St,",WEST MELBOURNE VIC 3003,− 0 Beds,1 Bath,1 Parking,,bendigo-vic,-37.8101,144.95
,,$450 per week,"58 Broadway,",ELWOOD VIC 3184,1 Bed,1 Bath,− Parking,,bendigo-vic,-37.8768281,144.9835959
,,$650 per week,"512/668 Swanston Street,",CARLTON VIC 3053,1 Bed,1 Bath,1 Parking,,bendigo-vic,-37.8004,144.9684
,,$550 per week,"4a Canrobert Street,",NEWSTEAD VIC 3462,3 Beds,2 Baths,2 Parking,,bendigo-vic,-37.1073483,144.0650109
,,$450 per week,"7B Wirth Street,",FLORA HILL VIC 3550,3 Beds,2 Baths,2 Parking,216m²,bendigo-vic,-36.7809694,144.2945597
,,$650 Per Week,"4 Crawley Court,",VIEWBANK VIC 3084,3 Beds,2 Baths,2 Parking,,bendigo-vic,-37.7362938,145.0917212
,,$490 per week,"37 Sunset Boulevard,",JACANA VIC 3047,3 Beds,1 Bath,− Parking,639m²,bendigo-vic,-37.6911121,144.9154098
,,$750,"77 Hemingway Drive,",ROCKBANK VIC 3335,5 Beds,5 Baths,2 Parking,,bendigo-vic,-37.7357449,144.6650069
,,$640 PER WEEK,"2 Wigan Close,",WOLLERT VIC 3750,4 Beds,2 Baths,4 Parking,,bendigo-vic,-37.6169595,145.0240561
,,$420.00 per week,"477 High Street,",GOLDEN SQUARE VIC 3555,3 Beds,1 Bath,− Parking,"1,012m²",bendigo-vic,-36.7789914,144.2508853
,,$480 weekly,"2/8 Martin St,",GOLDEN GULLY VIC 3555,4 Beds,2 Baths,2 Parking,,bendigo-vic,-36.7856956,144.2640055
,,$520 weekly,"58 Whirrakee Parade,",HUNTLY VIC 3551,4 Beds,2 Baths,2 Parking,,bendigo-vic,-36.6628957,144.3505094
,,$385.00 per week,"2/46 Mackenzie St West,",GOLDEN SQUARE VIC 3555,2 Beds,1 Bath,1 Parking,,bendigo-vic,-36.7711621,144.2544163
