Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$800 weekly,"10 Canara St,",DONCASTER EAST VIC 3109,4 Beds,2 Baths,4 Parking,,hamilton-vic,-37.7926995,145.155491
,,"$2,300","6103/9 HAMILTON AVENUE,",SURFERS PARADISE QLD 4217,3 Beds,3 Baths,2 Parking,,hamilton-vic,-28.0065768,153.4280205
,,$550,"11 Jobs Road,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,hamilton-vic,-37.7357735,144.6632722
,,$700 weekly,"503/10 Wominjeka Walk,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,hamilton-vic,-37.8097885,144.9486298
,,$510,"9 Delhi Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,1 Parking,,hamilton-vic,-37.7436862,144.6640428
,,$720 per week,"4912/33 ROSE Lane,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,hamilton-vic,-37.814,144.9633
,,$615 pw,"1 Coopworth Way,",ROCKBANK VIC 3335,4 Beds,3 Baths,2 Parking,,hamilton-vic,-37.7418798,144.6553772
,,$680 pw,"76 McKinley Drive,",TRUGANINA VIC 3029,4 Beds,4 Baths,2 Parking,,hamilton-vic,-37.7650548,144.6962139
,,$520 pw,"28 Tamworth Drive,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,hamilton-vic,-37.7335,144.67
,,$480 pw,"42 Sedate Drive,",ROCKBANK VIC 3335,3 Beds,2 Baths,2 Parking,,hamilton-vic,-37.7392179,144.6540942
,,$500 pw,"23 Delhi Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,hamilton-vic,-37.7436862,144.6640428
,,"$1,200 per week","4008/37C Harbour Rd,",HAMILTON QLD 4007,2 Beds,2 Baths,1 Parking,,hamilton-vic,47.32178,8.05281
,,$500 Per Week,"2007/288 Spencer Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,hamilton-vic,-37.814,144.9633
,,$640 per week,"1/84 Broadway,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,,hamilton-vic,-37.8768281,144.9835959
,,"$1,100 per week","3/7A Osburn Ave,",BALWYN NORTH VIC 3104,4 Beds,3 Baths,1 Parking,,hamilton-vic,-37.793395,145.0743915
,,$800 per week,"11 Lawson Street,",HAMILTON NSW 2303,4 Beds,1 Bath,− Parking,320m²,hamilton-vic,-32.9286063,151.7483988
,,$600.00,"108/408 Spencer Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,hamilton-vic,-37.8101,144.95
,,$950 per week,"3 Marmara,",ELSTERNWICK VIC 3185,3 Beds,1 Bath,3 Parking,,hamilton-vic,-37.8910362,145.0039514
,,$690 per week,"81 Bent Street,",MOONEE PONDS VIC 3039,2 Beds,1 Bath,3 Parking,,hamilton-vic,-37.7626817,144.9355321
,,$290 per week,"95 Carinish Road,",CLAYTON VIC 3168,− 0 Beds,1 Bath,− Parking,,hamilton-vic,-37.9242991,145.1205607
,,Contact Agent,"892 Hampton st,",BRIGHTON VIC 3186,3 Beds,1 Bath,3 Parking,659m²,hamilton-vic,-37.9065829,145.0085641
,,$55 Per Week,"200 Spencer Street,",MELBOURNE VIC 3004,− 0 Beds,− 0 Baths,1 Parking,,hamilton-vic,-37.8162806,144.9532882
,,Leased,"B4403/1 Hamilton Cres,",RYDE NSW 2112,1 Bed,1 Bath,1 Parking,,hamilton-vic,14.2766,46.8693
,,$680 per week,"32 Stanley Street,",SHANES PARK NSW 2747,3 Beds,1 Bath,− Parking,"4,000m²",hamilton-vic,-33.6970186,150.7819784
,,$680 per week,"12 Hamilton Avenue,",EARLWOOD NSW 2206,2 Beds,1 Bath,− Parking,,hamilton-vic,-33.9241105,151.1257597
,,$550 per week,"8/380 Inkerman Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,hamilton-vic,-37.8645511,144.9852833
,,$630 per week,"10 Alfred Street,",BEAUMARIS VIC 3193,3 Beds,1 Bath,1 Parking,,hamilton-vic,-37.9766648,145.05149
,,Contact Agent,"290 Maribyrnong Road,",MOONEE PONDS VIC 3039,4 Beds,1 Bath,− Parking,,hamilton-vic,-37.7726018,144.9246348
,,$580,"1/50 Elder Street,",WATSONIA VIC 3087,3 Beds,2 Baths,1 Parking,,hamilton-vic,-37.7142764,145.0920443
,,$630 per week,"8/118 Hamilton Road,",MOOROOKA QLD 4105,3 Beds,2 Baths,2 Parking,,hamilton-vic,-27.5385462,153.0198006
,,$650 Per Week,"706/218 A'Beckett Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,,hamilton-vic,-37.814,144.9633
,,$240,"Berth 30/84A River Esplanade,",DOCKLANDS VIC 3008,1 Bed,1 Bath,1 Parking,50m²,hamilton-vic,-37.8149,144.9505
,,Under Application,"6/8 Parring Rd,",BALWYN VIC 3103,2 Beds,1 Bath,2 Parking,,hamilton-vic,-37.8139475,145.090677
