Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Kim Te,Motion Property,$480 per week,"104A/2A Duffy Street,",ESSENDON NORTH VIC 3041,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7133,144.8969
Queanbeyan Property Management,Blackshaw Queanbeyan & Jerrabomberra,$590 per week,"226/7 Irving Street,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
Tim Miosge,Cream Residential,$400 per week,"11b/30 Launceston Street,",LYONS ACT 2606,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
,,"$1,050 per week","30 Downes Place,",HUGHES ACT 2605,4 Beds,3 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3305307,149.1020684
Tim Miosge,Cream Residential,$680 per week,"74 Launceston Street,",LYONS ACT 2606,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3398343,149.0820314
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$500 per week,"313/8 Webb Road,",AIRPORT WEST VIC 3042,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7159629,144.8896322
Paul Kerin,EnVogue Property Management,$625.00 per week,"5/88 Julia Flynn Avenue,",ISAACS ACT 2607,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3643084,149.1106254
Paul Kerin,EnVogue Property Management,$600.00 per week,"56/26 Marie Little Crescent,",DENMAN PROSPECT ACT 2611,2 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.302295,149.0322341
Bernadette Clayton,Belle Property Hunter Region,$480 per week,"15 Armidale Street,",ABERMAIN NSW 2326,2 Beds,1 Bath,− Parking,,latrobe-valley-vicwangaratta-vic,-32.8058546,151.4252653
Kimberly Castle,AM Property Agency,$400 pw,"609/220 Melrose Drive,",PHILLIP ACT 2606,1 Bed,1 Bath,− Parking,,latrobe-valley-vicwangaratta-vic,-35.3368413,149.0858351
Property Management,Blackshaw Woden,$740 Per Week,"9/11 Castan Street,",COOMBS ACT 2611,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.317628,149.0425744
Daniel Hatchuel,Performance Asset Management Melbourne,$900 per week,"58 Argyle Street,",MOONEE PONDS VIC 3039,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.7679089,144.9071296
HomeGround Enquiries,HomeGround Real Estate Canberra,$800 per week,"15 Shepherd Street,",PEARCE ACT 2607,4 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3621994,149.0825945
Leasing Team,LJ Hooker Belconnen,$460 per week,"2013/120 Eastern Valley Way,",BELCONNEN ACT 2617,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.2199,149.0869
Tim Miosge,Cream Residential,$550per week,"192/7 Irving Street,",PHILLIP ACT 2606,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
Angela Weatherill,CTC Property Group,$600 per week,"13/86 Mawson Drive,",MAWSON ACT 2607,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.364237,149.0929098
Michael Guneratne,Hayman Partners,$590 per week,"296/7 Irving Street,",PHILLIP ACT 2606,2 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3396914,149.0842859
Brittinee Smith,Ray White Canberra,$600,"6/9 Maria Place,",LYONS ACT 2606,2 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3465785,149.0794527
Stacie Maher,Ray White Brookwater and Greater Springfield,$600 Per Week,"28 Beaming Road,",RIPLEY QLD 4306,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,47.55831,8.40474
Client Concierge,The Property Collective,$530 per week,"2,2,1/220 Melrose Drive,",PHILLIP ACT 2606,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3406,149.074
Leasing Department,Vanilla Rentals,$680 weekly,"4 Aspen Court,",REGENCY DOWNS QLD 4341,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-27.5185352,152.4475326
Rose,Distinct,$700 per week,"41/2 Foulkes Street,",DENMAN PROSPECT ACT 2611,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3008983,149.0302502
Danielle Coady,Element Property Services,$630 per week,"Unit 207/43 Arthur Blakeley Way,",COOMBS ACT 2611,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-35.3503,149.0155
Lee Forbes,McGrath Hunter Valley,$480 pw,"2A Sawyer Street,",PAXTON NSW 2325,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.9036435,151.2871318
Ned Hibbert,Maloney's the Estate Agent,$470 weekly,"5/78 Hodgson Crescent,",PEARCE ACT 2607,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-35.3572232,149.0881052
Leasing Agent,Bolton & Co O'Connor,$475 per week,"5/10 Tank St,",PHILLIP ACT 2606,1 Bed,1 Bath,1 Parking,"1,367m²",latrobe-valley-vicwangaratta-vic,-35.3468583,149.0948472
Alicia Hopgood,,$650.00,"126 Mt Alexander Road,",TRAVANCORE VIC 3032,2 Beds,1 Bath,− Parking,,latrobe-valley-vicwangaratta-vic,-37.7827657,144.9346085
Kelly Smyth,,$700,"6 Pankhurst Avenue,",NORTH ROTHBURY NSW 2335,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,46.58311,6.88295
Catherine Walter,,$540 weekly,"2/22 Marguerite St,",RANELAGH TAS 7109,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-43.0069653,147.041656
Catherine Walter,,$250 weekly,"2/60 Pottery Rd,",DOVER TAS 7117,1 Bed,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-43.32535,147.0009739
Kelly Smyth,,$850,"11 Wesley Street,",BOLWARRA HEIGHTS NSW 2320,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.6994627,151.5863782
Shikayla Pike,,$420.00 per week,"2/1 Gant Street,",LENAH VALLEY TAS 7008,1 Bed,1 Bath,1 Parking,53m²,latrobe-valley-vicwangaratta-vic,-42.8634275,147.2976577
Bradley Shadlow,,$600 per week | Two Living Areas & Three W/C's,"26 Evatt Street,",PELAW MAIN NSW 2327,4 Beds,2 Baths,2 Parking,556m²,latrobe-valley-vicwangaratta-vic,-32.83779,151.48151
Cooper Cavallo,,$610 per week,"405/9 Shuter Street,",MOONEE PONDS VIC 3039,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7675792,144.9207019
Ryan Mitchell,,$520 per week | Brand new carpet,"32/270 Wollombi Road,",BELLBIRD NSW 2325,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.8521292,151.327002
Ryan Mitchell,,$440 per week | Two Living Areas,"2 Jersey Place,",MUSWELLBROOK NSW 2333,3 Beds,1 Bath,2 Parking,712m²,latrobe-valley-vicwangaratta-vic,-32.2765009,150.8810529
