Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Danielle Crumblehulme,Marshall White Stonnington,$800.00,"18 St John Street,",WINDSOR VIC 3181,2 Beds,1 Bath,− Parking,,melbourne-vic,-37.8521343,144.9897921
Stephanie Allen,Dingle Partners,$570 pw,"538 Victoria Parade,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,− Parking,,melbourne-vic,-37.8101451,144.9894192
Alana Davis,Woodards Carnegie,$550 per week,"5 Derham Drive,",POINT COOK VIC 3030,4 Beds,2 Baths,2 Parking,,melbourne-vic,-37.8910956,144.7258097
David Hua,Ray White Oakleigh,$650.00 per week,"106/2 Morton Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.8864447,145.0581571
Jayde Cashion,Jellis Craig Fitzroy,$495.00,"604/312 Swan Street,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8271,145.0064
Simone Buckley,Buxton Real Estate Sandringham,$680.00,"32 Raynes Park Road,",HAMPTON VIC 3188,3 Beds,1 Bath,2 Parking,,melbourne-vic,-37.9368163,145.0150932
Ysabella Dimitrakopoulos,BigginScott Richmond,$720 weekly,"113 Burnley St,",RICHMOND VIC 3121,2 Beds,1 Bath,2 Parking,,melbourne-vic,-37.8266573,145.0070232
Angus Brayshaw,Richardson & Wrench Projects Victoria,$490 per week,"207/3 Olive York Way,",BRUNSWICK WEST VIC 3055,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.7588649,144.9393544
Leasing Team,Besser & Co. Estate Agents,$820 Per Week,"203/462 Dandenong Road,",CAULFIELD NORTH VIC 3161,3 Beds,2 Baths,2 Parking,,melbourne-vic,-37.872,145.0216
Ysabella Dimitrakopoulos,BigginScott Richmond,$500 weekly,"207/28 Burnley St,",RICHMOND VIC 3121,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.826772,145.0070926
Stephanie Allen,Dingle Partners,$760 pw,"167 Simpson Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8105557,144.9885308
Matthew Swinnerton,Ray White Oakleigh,$880,"2 Solomon Street,",MOUNT WAVERLEY VIC 3149,5 Beds,3 Baths,4 Parking,,melbourne-vic,-37.8901424,145.1117472
Matthew Swinnerton,Ray White Oakleigh,$570,"2/67 Carinish Road,",CLAYTON VIC 3168,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.9242991,145.1205607
Matthew Swinnerton,Ray White Oakleigh,$550,"2/14 Majdal Street,",BENTLEIGH EAST VIC 3165,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.9097678,145.0802235
Liam Mulligan,BigginScott Richmond,$365 weekly,"3/19 Bendigo St,",COLLINGWOOD VIC 3066,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.7969222,144.9927603
Christian Neofotistos,Ray White Brunswick,$650,"601/288 Albert Street,",BRUNSWICK VIC 3056,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.7667,144.9667
Shermta Flomo,Woodards South Yarra,$370 pw,"1/145 Canterbury Road,",TOORAK VIC 3142,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8432666,145.0103739
Kerttu  Luik,Buxton St Kilda,$435.00,"191 Daley Street,",GLENROY VIC 3046,2 Beds,1 Bath,2 Parking,,melbourne-vic,-37.6973607,144.9304868
