Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$445,"56 Beartooth Drive,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5881163,143.7962219
,,$415 pw,"23/26 Beverin Street,",SEBASTOPOL VIC 3356,1 Bed,1 Bath,− Parking,,ballarat-vic,-37.5926804,143.8396639
,,$495,"23 Horwood Drive,",CANADIAN VIC 3350,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5925059,143.8767701
,,$395.00,"322 Raglan Street South,",BALLARAT CENTRAL VIC 3350,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.5655114,143.8495821
,,$450 p.w.,"18 Harold Street,",WENDOUREE VIC 3355,3 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5307656,143.8322597
,,$320.00 per week,"3/1 Maude Street,",WENDOUREE VIC 3355,1 Bed,1 Bath,1 Parking,,ballarat-vic,-37.5308997,143.8273108
,,$450pw,"9314 Western Highway,",WARRENHEIP VIC 3352,5 Beds,2 Baths,1 Parking,,ballarat-vic,-37.5602469,143.9499015
,,$650.00,"1707/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,,ballarat-vic,-37.8101,144.95
,,$640 per week,"20 Teak Street,",CAULFIELD VIC 3162,3 Beds,1 Bath,− Parking,318m²,ballarat-vic,-37.8924424,145.0277385
,,$900.00,"1903/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,ballarat-vic,-37.8101,144.95
,,$460 p.w,"34 Revelstoke Way,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,459m²,ballarat-vic,-37.5887504,143.7951823
,,$380.00 per week,"8A Saunders Close,",MOUNT PLEASANT VIC 3350,2 Beds,2 Baths,1 Parking,,ballarat-vic,-37.5830499,143.8590841
,,$440.00 per week,"10/4 Lyons Street South,",BALLARAT CENTRAL VIC 3350,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.570432,143.8502103
,,$350.00 per week,"15 Hyacinth Grove,",WENDOUREE VIC 3355,2 Beds,1 Bath,3 Parking,,ballarat-vic,-37.5270817,143.8220667
,,$450.00 per week,"60 Creekstone Drive,",ALFREDTON VIC 3350,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5565744,143.7850843
,,$450.00 per week,"5 Rawlings Street,",LUCAS VIC 3350,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5498065,143.774687
,,$400 pw,"1010 Warrenheip Street,",BUNINYONG VIC 3357,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.6455366,143.8855474
,,$450 p.w.,"23 Wedgetail Drive,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5755768,143.7853955
,,$250 per week including Bills,"2/18 Canterbury Street,",BROWN HILL VIC 3350,1 Bed,1 Bath,− Parking,,ballarat-vic,-37.5550049,143.8897869
,,$250 per week including Bills,"1/425 Clayton Street,",CANADIAN VIC 3350,1 Bed,1 Bath,− Parking,,ballarat-vic,-37.5878436,143.8973162
,,$995 per week,"34 Bird Avenue,",NORTHCOTE VIC 3070,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.7619763,144.9920856
,,$450.00,"66 Elegante Road,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5798246,143.7949417
,,$580.00 p.w,"119 Ballarat-Carngham Road,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,511m²,ballarat-vic,-37.5672048,143.7865339
,,$660.00,"1104/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,,ballarat-vic,-37.8101,144.95
,,$780,"2609/545 Station Street,",BOX HILL VIC 3128,2 Beds,2 Baths,1 Parking,,ballarat-vic,-37.8256,145.1232
,,$600 pw,"12 Clay Crescent,",ROCKBANK VIC 3335,5 Beds,3 Baths,2 Parking,,ballarat-vic,-37.7440829,144.6593622
,,$560.00 per week,"418 Larter Street,",GOLDEN POINT VIC 3350,2 Beds,2 Baths,5 Parking,,ballarat-vic,-37.5692179,143.8721473
,,$790.00,"1002/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,− Parking,,ballarat-vic,-37.8101,144.95
,,$390.00,"2/9 Burnett Street,",SEBASTOPOL VIC 3356,3 Beds,2 Baths,1 Parking,,ballarat-vic,-37.6032862,143.8407864
,,$430 p.w,"3 Luck Street,",SEBASTOPOL VIC 3356,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5973581,143.8257028
,,$600,"30 Mainview Boulevard,",TRUGANINA VIC 3029,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.8394196,144.7340978
,,$570 per week Unfurnished Inc. bill,"2/510 Station Street,",BOX HILL VIC 3128,3 Beds,1 Bath,2 Parking,,ballarat-vic,-37.8283527,145.1218953
,,$290 per week,"41 Gillard St,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,,ballarat-vic,-37.8554052,145.1140174
,,$430 pw,"19 Yolanda Street,",BONSHAW VIC 3352,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5973955,143.8199724
