Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,"$1,100 per week","3/7A Osburn Ave,",BALWYN NORTH VIC 3104,4 Beds,3 Baths,1 Parking,,shepparton-vic,-37.793395,145.0743915
,,$610 pw,"20 Orr Street,",SHEPPARTON VIC 3630,3 Beds,2 Baths,2 Parking,,shepparton-vic,-36.37053,145.4042606
,,$600.00,"108/408 Spencer Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,shepparton-vic,-37.8101,144.95
,,$950 per week,"3 Marmara,",ELSTERNWICK VIC 3185,3 Beds,1 Bath,3 Parking,,shepparton-vic,-37.8910362,145.0039514
,,$690 per week,"81 Bent Street,",MOONEE PONDS VIC 3039,2 Beds,1 Bath,3 Parking,,shepparton-vic,-37.7626817,144.9355321
,,$290 per week,"95 Carinish Road,",CLAYTON VIC 3168,− 0 Beds,1 Bath,− Parking,,shepparton-vic,-37.9242991,145.1205607
,,Contact Agent,"892 Hampton st,",BRIGHTON VIC 3186,3 Beds,1 Bath,3 Parking,659m²,shepparton-vic,-37.9065829,145.0085641
,,$55 Per Week,"200 Spencer Street,",MELBOURNE VIC 3004,− 0 Beds,− 0 Baths,1 Parking,,shepparton-vic,-37.8162806,144.9532882
,,$300,"11/34 Chertsey Road,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic,-36.3744406,145.4134151
,,$550 per week,"8/380 Inkerman Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,shepparton-vic,-37.8645511,144.9852833
,,$630 per week,"10 Alfred Street,",BEAUMARIS VIC 3193,3 Beds,1 Bath,1 Parking,,shepparton-vic,-37.9766648,145.05149
,,Contact Agent,"290 Maribyrnong Road,",MOONEE PONDS VIC 3039,4 Beds,1 Bath,− Parking,,shepparton-vic,-37.7726018,144.9246348
,,$580,"1/50 Elder Street,",WATSONIA VIC 3087,3 Beds,2 Baths,1 Parking,,shepparton-vic,-37.7142764,145.0920443
,,$650 Per Week,"706/218 A'Beckett Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,,shepparton-vic,-37.814,144.9633
,,$240,"Berth 30/84A River Esplanade,",DOCKLANDS VIC 3008,1 Bed,1 Bath,1 Parking,50m²,shepparton-vic,-37.8149,144.9505
,,Under Application,"6/8 Parring Rd,",BALWYN VIC 3103,2 Beds,1 Bath,2 Parking,,shepparton-vic,-37.8139475,145.090677
,,$65 pw,"539 St Kilda Road,",MELBOURNE VIC 3004,− 0 Beds,1 Bath,1 Parking,,shepparton-vic,-37.845647,144.9803033
,,$240 per month,"Car Space/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,1 Parking,,shepparton-vic,-37.8004,144.9684
,,$480 P/W,"1 Bed 1 Bath/34 Cowper Street,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,− Parking,,shepparton-vic,-37.7995,144.8963
,,Available Now - $600 P/W,"2 Bed 2 Bath/34 Cowper Street,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,− Parking,,shepparton-vic,-37.7995,144.8963
,,STUDENT ACCOMMODATION From $225 Per Week,"279 Wyndham Street,",SHEPPARTON VIC 3630,1 Bed,1 Bath,− Parking,,shepparton-vic,-36.376812,145.4001297
,,$560 per week,"33 Currong Street South,",REID ACT 2612,2 Beds,1 Bath,1 Parking,"2,497m²",shepparton-vic,-35.2839691,149.1432609
,,$800.00,"6 Hawkins Road,",MONTROSE VIC 3765,5 Beds,2 Baths,− Parking,,shepparton-vic,-37.8009117,145.3660596
,,$550/w & Furnished Available Now,"4502/80 A'Beckett Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,shepparton-vic,-37.814,144.9633
,,$595,"804/333 Exhibition Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,shepparton-vic,-37.8072513,144.9689086
