Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$535.00,"3/57 Holmes Road,",MOONEE PONDS VIC 3039,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7664849,144.9186215
,,$630 Per Week,"20 Russell Street,",TELARAH NSW 2320,4 Beds,2 Baths,3 Parking,,latrobe-valley-vicwangaratta-vic,-32.7254429,151.5339318
,,$390 Per Week,"4 Graduation Place,",CHURCHILL VIC 3842,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-38.3202939,146.4240819
,,$550.00,"8 Francis Street,",HADFIELD VIC 3046,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7130102,144.9426215
,,$550 p/week,"69 Allandale Road,",CESSNOCK NSW 2325,4 Beds,1 Bath,2 Parking,809m²,latrobe-valley-vicwangaratta-vic,-32.8303131,151.355627
,,$350 per week,"2/91 Brisbane Street,",EAST MAITLAND NSW 2323,1 Bed,1 Bath,− Parking,,latrobe-valley-vicwangaratta-vic,-32.7608303,151.5865624
,,$560 per week,"11 Fletcher Street,",BERESFIELD NSW 2322,2 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.7999157,151.6498168
,,$400 weekly,"13/96 Glass St,",ESSENDON VIC 3040,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.7468849,144.9194013
,,$630 Per Week,"7 Crestwood Road,",THORNTON NSW 2322,4 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.7667541,151.6444734
,,$470.00,"38 Honour Avenue,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.5681474,143.7878052
,,$850 weekly,"2004/103 South Wharf Drive,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-37.8221868,144.9362813
,,330.00 per week,"24A/116-130 Main Drive,",MACLEOD VIC 3085,− 0 Beds,1 Bath,− Parking,,latrobe-valley-vicwangaratta-vic,-37.7228,145.0817
,,$435.00,"69 Sundance Boulevard,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-37.5874798,143.7977165
,,$620.00,"6 Fairview Place,",CESSNOCK NSW 2325,3 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.8295572,151.3476513
,,$410 Per Week,"40 Amaroo Drive,",CHURCHILL VIC 3842,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-38.3209047,146.4195687
,,$450,"1 Brisbane Street,",MORWELL VIC 3840,3 Beds,1 Bath,4 Parking,,latrobe-valley-vicwangaratta-vic,-38.2362317,146.4229505
,,$550,"34 Love Street,",CESSNOCK NSW 2325,3 Beds,1 Bath,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.8259182,151.3525319
,,$480,"2/49 Shortland Drive,",ABERGLASSLYN NSW 2320,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-32.7072568,151.5411985
,,$495 Per Week,"37 Weston Street,",WESTON NSW 2326,3 Beds,1 Bath,− Parking,,latrobe-valley-vicwangaratta-vic,-32.8079312,151.4626452
,,$760.00 Per Week,"7 Wagawn Drive,",MURWILLUMBAH NSW 2484,4 Beds,2 Baths,2 Parking,552m²,latrobe-valley-vicwangaratta-vic,-28.3388439,153.3598293
,,$380 pw,"36 Churinga Drive,",CHURCHILL VIC 3842,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-38.3215804,146.4245443
,,$400 weekly,"3/15 Tallis Street,",NORLANE VIC 3214,2 Beds,2 Baths,1 Parking,,latrobe-valley-vicwangaratta-vic,-38.0924322,144.3646223
,,$670 Per Week,"33 Thomas Street,",BRAY PARK NSW 2484,3 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-28.338725,153.3767189
,,$620 per week,"12A Valley Road,",PADSTOW HEIGHTS NSW 2211,2 Beds,1 Bath,1 Parking,,latrobe-valley-vicwangaratta-vic,-33.9705647,151.0392907
,,$700.00,"3 Dobell Place,",METFORD NSW 2323,3 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-32.7711432,151.6195659
,,$1100 per week,"5A Supply Street,",DUNDAS VALLEY NSW 2117,4 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-33.792069,151.057018
,,$460 pw,"140 Little Road,",WHITES VALLEY SA 5172,2 Beds,1 Bath,− Parking,,latrobe-valley-vicwangaratta-vic,-35.2623091,138.5011462
,,$600,"60/5 Junction Parade,",MIDLAND WA 6056,2 Beds,2 Baths,2 Parking,,latrobe-valley-vicwangaratta-vic,-31.8875115,116.0084789
