Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$650 weekly,"1510/828 Whitehorse Rd,",BOX HILL VIC 3128,2 Beds,2 Baths,1 Parking,,wodonga-vic,-37.8256,145.1232
,,$550,"6 Garner Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,wodonga-vic,-37.7344721,144.6512774
,,$510,"19 HARWICH STREET,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,wodonga-vic,-37.7219059,144.640391
,,$800 weekly,"10 Canara St,",DONCASTER EAST VIC 3109,4 Beds,2 Baths,4 Parking,,wodonga-vic,-37.7926995,145.155491
,,$550,"11 Jobs Road,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,wodonga-vic,-37.7357735,144.6632722
,,$700 weekly,"503/10 Wominjeka Walk,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,wodonga-vic,-37.8097885,144.9486298
,,$510,"9 Delhi Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,1 Parking,,wodonga-vic,-37.7436862,144.6640428
,,$720 per week,"4912/33 ROSE Lane,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,wodonga-vic,-37.814,144.9633
,,$615 pw,"1 Coopworth Way,",ROCKBANK VIC 3335,4 Beds,3 Baths,2 Parking,,wodonga-vic,-37.7418798,144.6553772
,,$360 per week,"3816 Omeo Highway,",ESKDALE VIC 3701,3 Beds,1 Bath,2 Parking,,wodonga-vic,-36.464729,147.2544855
,,$680 pw,"76 McKinley Drive,",TRUGANINA VIC 3029,4 Beds,4 Baths,2 Parking,,wodonga-vic,-37.7650548,144.6962139
,,$520 pw,"28 Tamworth Drive,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,wodonga-vic,-37.7335,144.67
,,$480 pw,"42 Sedate Drive,",ROCKBANK VIC 3335,3 Beds,2 Baths,2 Parking,,wodonga-vic,-37.7392179,144.6540942
,,$500 pw,"23 Delhi Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,wodonga-vic,-37.7436862,144.6640428
,,$500 Per Week,"2007/288 Spencer Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,wodonga-vic,-37.814,144.9633
,,$640 per week,"1/84 Broadway,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,,wodonga-vic,-37.8768281,144.9835959
,,"$1,100 per week","3/7A Osburn Ave,",BALWYN NORTH VIC 3104,4 Beds,3 Baths,1 Parking,,wodonga-vic,-37.793395,145.0743915
,,$600.00,"108/408 Spencer Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,wodonga-vic,-37.8101,144.95
,,$950 per week,"3 Marmara,",ELSTERNWICK VIC 3185,3 Beds,1 Bath,3 Parking,,wodonga-vic,-37.8910362,145.0039514
,,$690 per week,"81 Bent Street,",MOONEE PONDS VIC 3039,2 Beds,1 Bath,3 Parking,,wodonga-vic,-37.7626817,144.9355321
,,$290 per week,"95 Carinish Road,",CLAYTON VIC 3168,− 0 Beds,1 Bath,− Parking,,wodonga-vic,-37.9242991,145.1205607
,,Contact Agent,"892 Hampton st,",BRIGHTON VIC 3186,3 Beds,1 Bath,3 Parking,659m²,wodonga-vic,-37.9065829,145.0085641
,,$55 Per Week,"200 Spencer Street,",MELBOURNE VIC 3004,− 0 Beds,− 0 Baths,1 Parking,,wodonga-vic,-37.8162806,144.9532882
,,$550 per week,"8/380 Inkerman Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,wodonga-vic,-37.8645511,144.9852833
,,$630 per week,"10 Alfred Street,",BEAUMARIS VIC 3193,3 Beds,1 Bath,1 Parking,,wodonga-vic,-37.9766648,145.05149
,,Contact Agent,"290 Maribyrnong Road,",MOONEE PONDS VIC 3039,4 Beds,1 Bath,− Parking,,wodonga-vic,-37.7726018,144.9246348
,,$580,"1/50 Elder Street,",WATSONIA VIC 3087,3 Beds,2 Baths,1 Parking,,wodonga-vic,-37.7142764,145.0920443
,,$650 Per Week,"706/218 A'Beckett Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,,wodonga-vic,-37.814,144.9633
,,$240,"Berth 30/84A River Esplanade,",DOCKLANDS VIC 3008,1 Bed,1 Bath,1 Parking,50m²,wodonga-vic,-37.8149,144.9505
,,Under Application,"6/8 Parring Rd,",BALWYN VIC 3103,2 Beds,1 Bath,2 Parking,,wodonga-vic,-37.8139475,145.090677
,,From $110 per month to $180 per month,"589-595 Dallinger Road,",LAVINGTON NSW 2641,− 0 Beds,1 Bath,− Parking,,wodonga-vic,-36.0414657,146.9625164
,,$65 pw,"539 St Kilda Road,",MELBOURNE VIC 3004,− 0 Beds,1 Bath,1 Parking,,wodonga-vic,-37.845647,144.9803033
,,$230 per week,"rooms 1-7/4 Lanark Court,",WODONGA VIC 3690,7 Beds,2 Baths,2 Parking,,wodonga-vic,-36.0997,146.802
,,Contact Agent,"99 Bennu Circuit,",THURGOONA NSW 2640,1 Bed,1 Bath,− Parking,,wodonga-vic,-36.0708432,146.9630945
,,$240 per month,"Car Space/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,1 Parking,,wodonga-vic,-37.8004,144.9684
,,$480 P/W,"1 Bed 1 Bath/34 Cowper Street,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,− Parking,,wodonga-vic,-37.7995,144.8963
,,Available Now - $600 P/W,"2 Bed 2 Bath/34 Cowper Street,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,− Parking,,wodonga-vic,-37.7995,144.8963
,,$560 per week,"33 Currong Street South,",REID ACT 2612,2 Beds,1 Bath,1 Parking,"2,497m²",wodonga-vic,-35.2839691,149.1432609
,,$800.00,"6 Hawkins Road,",MONTROSE VIC 3765,5 Beds,2 Baths,− Parking,,wodonga-vic,-37.8009117,145.3660596
,,$550/w & Furnished Available Now,"4502/80 A'Beckett Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,wodonga-vic,-37.814,144.9633
,,$595,"804/333 Exhibition Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,wodonga-vic,-37.8072513,144.9689086
,,$550 per week,"18 Milos Court,",FRASER RISE VIC 3336,4 Beds,2 Baths,2 Parking,,wodonga-vic,-37.7139202,144.7191744
,,$450,"10 Mccoy Street,",OMEO VIC 3898,3 Beds,1 Bath,3 Parking,,wodonga-vic,-37.1097623,147.596471
,,$925/week,"2512/138 Spencer Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,wodonga-vic,-37.814,144.9633
,,$570 weekly,"1501/63 Haig St,",SOUTHBANK VIC 3006,2 Beds,1 Bath,1 Parking,,wodonga-vic,-37.8228,144.9643
,,$400 per week,"213/80 Cheltenham Road,",DANDENONG VIC 3175,1 Bed,1 Bath,− Parking,,wodonga-vic,-37.9912458,145.1970169
,,$560 weekly,"3 Golden Grove,",GLEN WAVERLEY VIC 3150,4 Beds,1 Bath,1 Parking,,wodonga-vic,-37.873842,145.1718162
,,$600 PER WEEK,"19 Hurkett St,,",MICKLEHAM VIC 3064,4 Beds,2 Baths,2 Parking,,wodonga-vic,-37.5483002,144.8977324
,,$595,"842 Lamport Crescent,",WEST ALBURY NSW 2640,4 Beds,2 Baths,1 Parking,,wodonga-vic,-36.0775615,146.8983095
,,$500,"20 Cromwell Road,",WERRIBEE VIC 3030,3 Beds,2 Baths,2 Parking,,wodonga-vic,-37.8732248,144.6604057
,,$420,"1/7 Regan Street,",ST ALBANS VIC 3021,1 Bed,1 Bath,1 Parking,,wodonga-vic,-37.729499,144.792894
