Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
,,$390 p.w.,"4/412A Wilson Street,",BALLARAT EAST VIC 3350,3 Beds,1 Bath,1 Parking,,ballarat-vic,-37.5292,143.8591
,,$380 per week,"6/406 Lower Heidelberg Road,",EAGLEMONT VIC 3084,1 Bed,1 Bath,1 Parking,100m²,ballarat-vic,-37.7658239,145.0670583
,,$460.00 per week,"65 Presentation Boulevard,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5700121,143.7909325
,,$700.00,"35/174 Peel Street,",WINDSOR VIC 3181,2 Beds,2 Baths,1 Parking,,ballarat-vic,-37.853,144.9929
,,$590 per week,"8 Tynong Street,",CROYDON VIC 3136,3 Beds,1 Bath,1 Parking,877m²,ballarat-vic,-37.7875726,145.2787375
,,$600.00,"233 Nerrina Road,",NERRINA VIC 3350,5 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5427819,143.8799012
,,$610.00,"66 Masada Boulevard,",SMYTHES CREEK VIC 3351,3 Beds,2 Baths,6 Parking,,ballarat-vic,-37.6116,143.585
,,$550.00,"31 Martland Street,",LUCAS VIC 3350,4 Beds,3 Baths,2 Parking,,ballarat-vic,-37.5526935,143.7838179
,,$475.00,"16 St Michaels Place,",LAKE GARDENS VIC 3355,3 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5477751,143.8196645
,,$500 pw,"402 Ripon Street,",BALLARAT CENTRAL VIC 3350,3 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5601373,143.8413834
,,$380 pw,"4/4 Wood Street,",SOLDIERS HILL VIC 3350,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.5438928,143.8520901
,,$470.00,"17 Leitrim Street,",ALFREDTON VIC 3350,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5659401,143.7994195
,,$400 weekly,"10 Eddy St,",GOLDEN POINT VIC 3350,3 Beds,1 Bath,1 Parking,559m²,ballarat-vic,-37.5677294,143.8627194
,,$350 per week,"1 Domain Gardens,",SEBASTOPOL VIC 3356,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.5832746,143.8361439
,,$500,"4 Waugh Street,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.7329611,144.6498316
,,$380 per week,"11 Monash Place,",CANADIAN VIC 3350,2 Beds,2 Baths,1 Parking,,ballarat-vic,-37.5915199,143.8677091
,,$995,"122A Sussex Street,",EAST VICTORIA PARK WA 6101,4 Beds,2 Baths,2 Parking,,ballarat-vic,-31.9838389,115.9009195
,,$465.00,"7 Bella Terrace,",BAKERY HILL VIC 3350,3 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5292,143.8591
,,$420.00 per week,"14 Mauger Street,",WENDOUREE VIC 3355,3 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5230734,143.8273961
,,$475.00 per week,"11 Mullingar Drive,",ALFREDTON VIC 3350,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5646449,143.8006421
,,$300.00,"2/606 Lydiard St North,",SOLDIERS HILL VIC 3350,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.5554475,143.8589853
,,$355.00 per week,"316/133 Droop Street,",FOOTSCRAY VIC 3011,1 Bed,1 Bath,− Parking,,ballarat-vic,-37.7995,144.8963
,,$380.00,"2 Ivanhoe Street,",WENDOUREE VIC 3355,3 Beds,1 Bath,1 Parking,,ballarat-vic,-37.5239833,143.8283263
,,$630 per week,"52 Ballarat Street,",YARRAVILLE VIC 3013,2 Beds,1 Bath,− Parking,,ballarat-vic,-37.8210635,144.8900742
,,$600 per week,"6 Athena Way,",STRATHFIELDSAYE VIC 3551,5 Beds,2 Baths,2 Parking,,ballarat-vic,-36.7975232,144.3400794
,,$440.00,"61 Steamboat Avenue,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5857203,143.796674
,,$490 Per Week,"933 Ballarat Road,",DEER PARK VIC 3023,3 Beds,1 Bath,1 Parking,,ballarat-vic,-37.7714341,144.784497
,,$480,"8 Chorley Street,",STRATHTULLOH VIC 3338,4 Beds,2 Baths,1 Parking,,ballarat-vic,-37.7236822,144.596732
,,$510 per week,"7 Waler Street,",AINTREE VIC 3336,3 Beds,2 Baths,2 Parking,,ballarat-vic,-37.72042,144.6689989
,,$300.00 per week,"11/901 Gregory Street,",LAKE WENDOUREE VIC 3350,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.5409194,143.8221019
,,$750 per week,"178 Nicholson St,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,247m²,ballarat-vic,-37.7654728,144.9805539
,,$800.00 per week,"5 Lythgo Court,",CARDIGAN VIC 3352,4 Beds,2 Baths,6 Parking,"2,000m²",ballarat-vic,-37.5335567,143.7755869
,,$680 per week,"10/8 Riversdale Road,",BURSWOOD WA 6100,1 Bed,1 Bath,1 Parking,,ballarat-vic,-31.9563359,115.9000791
,,$500 pw,"21 Merino Drive,",ALFREDTON VIC 3350,4 Beds,2 Baths,2 Parking,,ballarat-vic,-37.5580064,143.7955563
,,$450.00,"310 Skipton Street,",BALLARAT CENTRAL VIC 3350,3 Beds,2 Baths,1 Parking,,ballarat-vic,-37.5679631,143.8539386
,,$450 weekly,"601/150 Dudley St,",WEST MELBOURNE VIC 3003,− 0 Beds,1 Bath,1 Parking,,ballarat-vic,-37.8101,144.95
,,$480pw/ $2085pcm,"2/22 Summerhill Road,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,,ballarat-vic,-37.7966362,144.8816105
,,$420.00 per week,"195-197 Howe Street,",MINERS REST VIC 3352,3 Beds,1 Bath,6 Parking,,ballarat-vic,-37.4900065,143.8046455
,,$360 pw,"2/716 Gregory Street,",SOLDIERS HILL VIC 3350,2 Beds,2 Baths,1 Parking,,ballarat-vic,-37.5454297,143.8593153
,,$430.00 per week,"21 Eucalyptus Court,",BEAUFORT VIC 3373,3 Beds,2 Baths,2 Parking,,ballarat-vic,-37.4318032,143.3695539
,,$800.00,"3 Evergreen Drive,",ALFREDTON VIC 3350,5 Beds,3 Baths,2 Parking,,ballarat-vic,-37.5458624,143.8063923
,,$400 weekly,"324 Lyons Street South,",BALLARAT CENTRAL VIC 3350,4 Beds,1 Bath,1 Parking,293m²,ballarat-vic,-37.570432,143.8502103
,,$450 per week,"58 Broadway,",ELWOOD VIC 3184,1 Bed,1 Bath,− Parking,,ballarat-vic,-37.8768281,144.9835959
