SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
203011034,Bannockburn," 50,953 "," 52,230 "," 54,881 "," 57,208 "," 59,554 "," 60,623 "," 61,706 "," 64,616 "," 66,416 "," 69,373 "
203011035,Golden Plains - South," 45,341 "," 47,743 "," 49,785 "," 50,940 "," 53,242 "," 55,135 "," 56,637 "," 58,885 "," 60,329 "," 61,489 "
203011036,Winchelsea," 41,205 "," 45,264 "," 49,329 "," 50,686 "," 52,487 "," 55,188 "," 59,040 "," 62,815 "," 65,423 "," 67,835 "
203021037,Belmont," 43,475 "," 46,078 "," 47,862 "," 49,738 "," 52,330 "," 52,943 "," 53,728 "," 56,322 "," 58,025 "," 60,614 "
203021039,Geelong," 48,877 "," 50,550 "," 51,932 "," 53,310 "," 55,470 "," 64,346 "," 64,644 "," 67,467 "," 69,960 "," 76,382 "
203021040,Geelong West - Hamlyn Heights," 50,500 "," 52,867 "," 55,640 "," 56,471 "," 60,000 "," 61,325 "," 63,101 "," 65,797 "," 67,391 "," 70,860 "
203021042,Highton," 48,358 "," 49,958 "," 52,791 "," 53,558 "," 56,368 "," 65,097 "," 66,097 "," 69,718 "," 69,050 "," 74,383 "
203021043,Lara," 51,214 "," 53,119 "," 55,149 "," 56,249 "," 58,070 "," 61,234 "," 62,007 "," 63,769 "," 64,102 "," 67,202 "
203021044,Leopold," 46,241 "," 48,341 "," 49,935 "," 50,454 "," 52,367 "," 54,164 "," 55,022 "," 56,522 "," 57,039 "," 59,769 "
203021045,Newcomb - Moolap," 42,345 "," 43,613 "," 45,931 "," 46,478 "," 47,376 "," 48,713 "," 48,184 "," 50,289 "," 51,252 "," 52,563 "
203021046,Newtown (Vic.)," 55,773 "," 57,818 "," 59,470 "," 60,993 "," 65,840 "," 80,399 "," 83,634 "," 85,469 "," 85,904 "," 95,457 "
203021047,North Geelong - Bell Park," 46,263 "," 47,651 "," 49,851 "," 50,763 "," 52,287 "," 56,397 "," 56,663 "," 59,161 "," 59,873 "," 61,899 "
203021485,Charlemont," 48,335 "," 51,398 "," 54,069 "," 54,279 "," 57,025 "," 55,821 "," 57,510 "," 59,694 "," 60,115 "," 63,618 "
203021486,Corio - Lovely Banks," 42,164 "," 44,049 "," 45,492 "," 46,260 "," 47,324 "," 49,869 "," 48,955 "," 49,917 "," 50,875 "," 52,266 "
203021487,Grovedale - Mount Duneed," 45,770 "," 47,710 "," 49,516 "," 50,222 "," 52,795 "," 54,503 "," 55,068 "," 57,195 "," 58,308 "," 60,876 "
203021488,Norlane," 37,771 "," 40,168 "," 41,538 "," 42,583 "," 42,795 "," 44,016 "," 43,345 "," 44,826 "," 45,104 "," 46,236 "
203031048,Clifton Springs," 42,995 "," 45,472 "," 47,864 "," 48,415 "," 50,679 "," 56,162 "," 55,084 "," 55,924 "," 57,063 "," 59,593 "
203031049,Lorne - Anglesea," 38,846 "," 40,485 "," 41,429 "," 42,606 "," 45,000 "," 56,011 "," 56,764 "," 58,728 "," 62,166 "," 65,504 "
203031051,Portarlington," 36,827 "," 38,323 "," 39,988 "," 40,764 "," 42,699 "," 51,081 "," 51,830 "," 53,983 "," 54,597 "," 55,044 "
203031052,Point Lonsdale - Queenscliff," 38,209 "," 39,994 "," 43,520 "," 44,696 "," 45,383 "," 58,150 "," 60,203 "," 62,573 "," 63,226 "," 65,668 "
203031053,Torquay," 49,228 "," 52,107 "," 54,955 "," 56,102 "," 59,658 "," 65,542 "," 68,054 "," 71,544 "," 74,110 "," 78,116 "
203031489,Barwon Heads - Armstrong Creek," 52,561 "," 53,402 "," 54,483 "," 56,243 "," 58,336 "," 69,448 "," 68,181 "," 70,358 "," 71,366 "," 75,095 "
203031490,Ocean Grove," 45,884 "," 48,975 "," 51,724 "," 52,235 "," 54,727 "," 60,636 "," 62,157 "," 64,902 "," 65,996 "," 69,779 "
204011054,Alexandra," 36,773 "," 37,890 "," 39,452 "," 40,199 "," 42,833 "," 46,888 "," 45,906 "," 48,621 "," 49,685 "," 52,997 "
204011055,Euroa," 36,859 "," 38,987 "," 39,500 "," 41,079 "," 42,378 "," 45,058 "," 45,888 "," 46,390 "," 47,358 "," 49,568 "
204011056,Kilmore - Broadford," 47,599 "," 49,320 "," 51,400 "," 52,821 "," 54,697 "," 56,042 "," 56,872 "," 59,445 "," 60,481 "," 62,198 "
204011057,Mansfield (Vic.)," 35,163 "," 37,862 "," 39,675 "," 40,256 "," 44,132 "," 48,747 "," 46,774 "," 49,138 "," 51,145 "," 56,864 "
204011058,Nagambie," 43,186 "," 45,235 "," 47,727 "," 47,578 "," 49,991 "," 51,987 "," 53,379 "," 56,203 "," 56,209 "," 59,681 "
204011059,Seymour," 41,116 "," 43,392 "," 45,393 "," 46,029 "," 46,566 "," 49,684 "," 49,929 "," 51,935 "," 52,115 "," 53,568 "
204011060,Seymour Surrounds," 47,918 "," 49,991 "," 52,222 "," 54,521 "," 55,989 "," 55,725 "," 56,151 "," 57,942 "," 59,529 "," 64,280 "
204011061,Upper Yarra Valley," 39,089 "," 43,740 "," 41,375 "," 39,982 "," 39,860 "," 42,286 "," 43,268 "," 45,539 "," 44,660 "," 41,957 "
204011062,Yea," 35,627 "," 37,163 "," 38,638 "," 40,162 "," 42,575 "," 46,983 "," 46,786 "," 49,485 "," 50,446 "," 53,171 "
204021063,Benalla," 40,896 "," 42,700 "," 44,066 "," 45,272 "," 47,763 "," 48,908 "," 48,677 "," 50,313 "," 51,790 "," 53,911 "
204021064,Benalla Surrounds," 35,151 "," 37,975 "," 38,640 "," 39,851 "," 43,429 "," 45,218 "," 45,446 "," 46,071 "," 48,925 "," 52,875 "
204021065,Rutherglen," 44,371 "," 45,971 "," 47,557 "," 49,146 "," 50,176 "," 51,316 "," 51,728 "," 53,159 "," 54,002 "," 55,394 "
204021066,Wangaratta," 43,782 "," 45,587 "," 47,525 "," 48,372 "," 51,216 "," 52,583 "," 53,231 "," 54,282 "," 55,861 "," 59,223 "
204021067,Wangaratta Surrounds," 39,326 "," 40,688 "," 42,619 "," 44,091 "," 47,714 "," 48,110 "," 48,505 "," 50,370 "," 51,949 "," 56,875 "
204031068,Beechworth," 40,767 "," 42,008 "," 44,279 "," 45,613 "," 49,202 "," 50,975 "," 49,973 "," 51,861 "," 54,072 "," 57,515 "
204031069,Bright - Mount Beauty," 35,886 "," 37,190 "," 39,625 "," 39,120 "," 44,636 "," 45,819 "," 46,609 "," 48,274 "," 49,835 "," 55,037 "
