SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
206071517,Richmond (South) - Cremorne," 67,766 "," 71,786 "," 74,581 "," 77,846 "," 81,421 "," 88,582 "," 92,561 "," 95,000 "," 100,032 "," 106,694 "
206071518,Richmond - North," 58,350 "," 60,411 "," 64,483 "," 66,407 "," 69,865 "," 76,721 "," 75,208 "," 77,929 "," 80,308 "," 83,823 "
207011146,Ashburton (Vic.)," 60,006 "," 61,321 "," 62,937 "," 64,056 "," 68,754 "," 92,637 "," 93,917 "," 95,408 "," 95,450 "," 101,764 "
207011147,Balwyn," 49,140 "," 50,044 "," 51,902 "," 51,703 "," 51,532 "," 85,717 "," 86,434 "," 88,709 "," 90,532 "," 90,688 "
207011148,Balwyn North," 50,096 "," 50,469 "," 52,750 "," 53,053 "," 53,664 "," 80,315 "," 79,404 "," 82,770 "," 82,893 "," 87,333 "
207011149,Camberwell," 56,877 "," 59,133 "," 61,520 "," 61,715 "," 63,494 "," 96,971 "," 97,275 "," 101,501 "," 103,041 "," 107,798 "
207011150,Glen Iris - East," 62,316 "," 63,403 "," 65,964 "," 67,321 "," 69,194 "," 98,134 "," 98,996 "," 102,141 "," 105,097 "," 108,748 "
207011152,Hawthorn East," 60,609 "," 61,766 "," 62,766 "," 61,319 "," 68,789 "," 94,956 "," 94,240 "," 96,504 "," 96,220 "," 103,469 "
207011154,Kew East," 56,385 "," 58,226 "," 60,124 "," 60,329 "," 63,595 "," 87,541 "," 89,182 "," 92,640 "," 94,396 "," 100,310 "
207011155,Surrey Hills (West) - Canterbury," 60,777 "," 63,041 "," 65,212 "," 64,023 "," 66,610 "," 111,157 "," 114,364 "," 112,216 "," 113,304 "," 117,044 "
207011519,Hawthorn - North," 56,559 "," 58,158 "," 60,518 "," 61,310 "," 71,261 "," 102,996 "," 106,030 "," 109,529 "," 108,987 "," 129,035 "
207011520,Hawthorn - South," 56,187 "," 56,815 "," 59,734 "," 60,327 "," 67,529 "," 94,348 "," 95,097 "," 100,303 "," 105,299 "," 118,398 "
207011521,Kew - South," 59,212 "," 61,649 "," 65,112 "," 65,823 "," 66,118 "," 113,459 "," 113,713 "," 117,252 "," 115,174 "," 125,114 "
207011522,Kew - West," 58,704 "," 61,538 "," 63,532 "," 63,019 "," 65,786 "," 105,289 "," 103,623 "," 107,561 "," 106,124 "," 112,593 "
207021156,Bulleen," 45,836 "," 47,352 "," 49,223 "," 51,507 "," 53,343 "," 63,090 "," 64,030 "," 65,925 "," 68,390 "," 72,023 "
207021157,Doncaster," 40,249 "," 41,278 "," 42,170 "," 42,538 "," 44,382 "," 59,050 "," 59,026 "," 59,378 "," 59,852 "," 62,943 "
207021159,Templestowe," 47,261 "," 47,638 "," 49,823 "," 50,147 "," 50,950 "," 74,638 "," 75,984 "," 79,788 "," 77,694 "," 80,614 "
207021160,Templestowe Lower," 45,144 "," 45,926 "," 48,542 "," 49,423 "," 50,973 "," 63,276 "," 62,681 "," 65,263 "," 65,960 "," 69,272 "
207021424,Doncaster East - North," 42,126 "," 43,211 "," 45,091 "," 45,363 "," 46,315 "," 59,594 "," 59,894 "," 60,529 "," 62,495 "," 63,875 "
207021425,Doncaster East - South," 40,660 "," 40,689 "," 42,223 "," 43,713 "," 44,719 "," 55,570 "," 55,024 "," 56,780 "," 58,172 "," 60,280 "
207031161,Blackburn," 48,525 "," 50,380 "," 52,500 "," 53,343 "," 55,907 "," 67,056 "," 68,469 "," 71,158 "," 72,808 "," 76,144 "
207031162,Blackburn South," 45,982 "," 47,174 "," 49,900 "," 49,401 "," 51,900 "," 61,384 "," 61,701 "," 64,659 "," 64,495 "," 66,820 "
207031163,Box Hill," 37,677 "," 37,811 "," 39,731 "," 39,083 "," 41,686 "," 54,511 "," 53,999 "," 55,592 "," 56,502 "," 58,274 "
207031164,Box Hill North," 45,882 "," 46,864 "," 49,538 "," 49,276 "," 51,232 "," 63,602 "," 64,369 "," 66,570 "," 68,004 "," 70,841 "
207031165,Burwood (Vic.)," 35,612 "," 35,000 "," 36,278 "," 37,905 "," 41,496 "," 54,417 "," 53,433 "," 54,479 "," 56,413 "," 60,105 "
207031166,Burwood East," 39,646 "," 40,641 "," 41,159 "," 42,228 "," 43,592 "," 52,900 "," 53,455 "," 54,311 "," 56,163 "," 56,810 "
207031167,Surrey Hills (East) - Mont Albert," 56,768 "," 57,777 "," 60,668 "," 60,982 "," 62,723 "," 86,802 "," 87,866 "," 90,652 "," 88,542 "," 96,213 "
208011168,Beaumaris," 56,578 "," 57,097 "," 59,983 "," 59,622 "," 62,394 "," 90,822 "," 91,919 "," 95,331 "," 98,787 "," 99,054 "
208011169,Brighton (Vic.)," 65,210 "," 67,255 "," 69,529 "," 69,865 "," 70,597 "," 128,898 "," 136,333 "," 138,802 "," 140,209 "," 143,645 "
208011170,Brighton East," 58,506 "," 59,841 "," 62,676 "," 63,091 "," 65,026 "," 96,280 "," 100,277 "," 102,241 "," 101,332 "," 103,698 "
208011171,Highett (West) - Cheltenham," 55,032 "," 57,299 "," 61,107 "," 63,609 "," 66,320 "," 72,911 "," 75,878 "," 78,859 "," 82,228 "," 87,255 "
208011172,Hampton," 57,045 "," 59,892 "," 62,000 "," 64,024 "," 67,691 "," 96,273 "," 100,572 "," 103,276 "," 104,228 "," 114,309 "
208011173,Sandringham - Black Rock," 59,836 "," 61,573 "," 63,236 "," 64,524 "," 65,673 "," 97,457 "," 100,836 "," 103,219 "," 102,396 "," 110,575 "
208021174,Bentleigh - McKinnon," 53,429 "," 54,863 "," 57,362 "," 59,107 "," 61,501 "," 73,604 "," 74,073 "," 77,354 "," 78,939 "," 82,984 "
208021176,Carnegie," 51,589 "," 52,685 "," 54,084 "," 56,595 "," 59,567 "," 65,690 "," 66,888 "," 68,761 "," 74,008 "," 75,285 "
208021177,Caulfield - North," 57,015 "," 58,709 "," 60,528 "," 61,580 "," 64,128 "," 93,416 "," 92,526 "," 96,780 "," 97,506 "," 102,759 "
208021178,Caulfield - South," 55,275 "," 57,298 "," 59,427 "," 59,165 "," 62,515 "," 81,344 "," 82,781 "," 85,639 "," 86,206 "," 92,570 "
208021179,Elsternwick," 58,754 "," 60,327 "," 63,323 "," 64,851 "," 68,592 "," 89,571 "," 89,681 "," 91,522 "," 92,385 "," 101,194 "
208021180,Hughesdale," 52,515 "," 52,692 "," 54,341 "," 57,091 "," 60,284 "," 65,571 "," 66,812 "," 68,038 "," 71,010 "," 74,199 "
208021181,Murrumbeena," 52,248 "," 54,121 "," 55,451 "," 58,008 "," 62,448 "," 68,395 "," 69,993 "," 71,906 "," 74,442 "," 79,126 "
208021182,Ormond - Glen Huntly," 51,937 "," 52,837 "," 55,022 "," 57,286 "," 59,893 "," 67,248 "," 68,120 "," 74,248 "," 72,930 "," 77,918 "
208021426,Bentleigh East - North," 51,691 "," 53,612 "," 55,684 "," 57,987 "," 59,850 "," 67,080 "," 68,545 "," 70,988 "," 73,090 "," 77,730 "
208021427,Bentleigh East - South," 51,143 "," 53,287 "," 55,132 "," 58,178 "," 61,135 "," 65,066 "," 67,667 "," 70,994 "," 73,187 "," 77,558 "
208031183,Aspendale Gardens - Waterways," 50,956 "," 51,722 "," 53,498 "," 55,232 "," 56,981 "," 64,059 "," 64,932 "," 67,279 "," 68,553 "," 71,259 "
208031184,Braeside," 50,716 "," 57,749 "," 64,828 "," 69,291 "," 73,834 "," 74,515 "," 86,847 "," 78,471 "," 84,319 "," 104,310 "
208031185,Carrum - Patterson Lakes," 51,955 "," 54,598 "," 55,429 "," 56,861 "," 59,146 "," 66,717 "," 69,015 "," 70,132 "," 73,491 "," 74,837 "
208031186,Chelsea - Bonbeach," 53,567 "," 55,691 "," 57,912 "," 58,489 "," 61,979 "," 62,582 "," 65,322 "," 66,721 "," 68,619 "," 71,485 "
208031187,Chelsea Heights," 50,417 "," 52,094 "," 54,284 "," 54,960 "," 56,602 "," 56,542 "," 58,149 "," 60,259 "," 62,363 "," 64,993 "
208031188,Highett (East) - Cheltenham ," 50,756 "," 53,465 "," 55,868 "," 56,743 "," 59,759 "," 63,639 "," 64,692 "," 66,848 "," 68,624 "," 72,029 "
208031189,Edithvale - Aspendale," 54,471 "," 57,916 "," 59,805 "," 61,332 "," 64,061 "," 68,619 "," 71,227 "," 74,227 "," 75,177 "," 77,122 "
208031190,Mentone," 52,006 "," 54,225 "," 57,231 "," 59,486 "," 60,845 "," 67,707 "," 68,093 "," 72,561 "," 73,618 "," 76,245 "
208031191,Moorabbin - Heatherton," 50,255 "," 51,528 "," 54,256 "," 56,002 "," 58,506 "," 63,097 "," 64,212 "," 67,811 "," 69,752 "," 73,572 "
208031192,Moorabbin Airport," 65,632 "," 50,000 "," 72,075 "," 56,708 "," 55,527 "," 72,920 "," 50,968 "," 143,163 "," 83,298 "," 64,717 "
208031193,Mordialloc - Parkdale," 55,747 "," 58,033 "," 60,719 "," 62,092 "," 64,287 "," 70,492 "," 73,245 "," 75,182 "," 77,929 "," 81,358 "
208041194,Malvern - Glen Iris," 64,188 "," 66,233 "," 69,729 "," 70,298 "," 72,267 "," 109,500 "," 114,513 "," 119,073 "," 120,581 "," 127,271 "
208041195,Malvern East," 57,562 "," 59,019 "," 59,487 "," 61,126 "," 64,096 "," 95,204 "," 98,537 "," 101,194 "," 101,522 "," 106,684 "
209011196,Bundoora - East," 44,601 "," 45,700 "," 47,739 "," 49,030 "," 50,913 "," 54,344 "," 56,112 "," 57,676 "," 58,902 "," 61,931 "
209011197,Greensborough," 53,080 "," 54,987 "," 56,606 "," 58,971 "," 60,564 "," 64,054 "," 65,457 "," 68,128 "," 70,097 "," 72,087 "
209011198,Heidelberg - Rosanna," 53,215 "," 56,659 "," 60,604 "," 61,975 "," 63,861 "," 63,516 "," 71,060 "," 75,113 "," 77,231 "," 80,746 "
209011199,Heidelberg West," 46,591 "," 47,865 "," 49,231 "," 51,092 "," 55,861 "," 55,444 "," 56,218 "," 58,060 "," 60,034 "," 64,561 "
209011200,Ivanhoe," 58,631 "," 61,543 "," 63,441 "," 64,964 "," 68,490 "," 84,096 "," 88,319 "," 90,988 "," 89,047 "," 98,091 "
209011201,Ivanhoe East - Eaglemont," 60,415 "," 63,761 "," 67,321 "," 67,903 "," 72,071 "," 105,537 "," 109,368 "," 111,661 "," 113,111 "," 120,659 "
209011202,Montmorency - Briar Hill," 54,252 "," 56,972 "," 58,432 "," 60,259 "," 62,642 "," 69,296 "," 70,830 "," 74,639 "," 74,258 "," 77,385 "
209011203,Viewbank - Yallambie," 52,240 "," 53,932 "," 56,529 "," 58,806 "," 60,558 "," 63,758 "," 64,720 "," 67,131 "," 69,459 "," 71,660 "
209011204,Watsonia," 53,401 "," 53,672 "," 56,433 "," 58,876 "," 60,456 "," 60,877 "," 61,645 "," 64,375 "," 66,547 "," 69,038 "
209021205,Kingsbury," 41,146 "," 41,039 "," 42,110 "," 44,240 "," 47,760 "," 57,615 "," 56,879 "," 57,742 "," 60,198 "," 65,372 "
209021428,Preston - East," 48,025 "," 49,779 "," 52,263 "," 54,282 "," 56,724 "," 56,988 "," 58,349 "," 61,328 "," 64,012 "," 67,082 "
209021429,Preston - West," 50,284 "," 52,506 "," 54,494 "," 56,530 "," 59,947 "," 61,824 "," 63,712 "," 65,776 "," 68,975 "," 73,149 "
209021523,Reservoir - North East," 45,392 "," 46,495 "," 48,631 "," 50,627 "," 52,761 "," 50,685 "," 51,491 "," 53,695 "," 56,124 "," 58,984 "
209021524,Reservoir - North West," 43,201 "," 43,738 "," 45,024 "," 47,208 "," 49,313 "," 52,716 "," 52,802 "," 55,431 "," 56,909 "," 59,863 "
209021525,Reservoir - South East," 43,093 "," 43,995 "," 46,166 "," 48,415 "," 50,717 "," 51,656 "," 51,518 "," 53,920 "," 56,409 "," 60,098 "
209021526,Reservoir - South West," 47,680 "," 50,272 "," 50,962 "," 52,353 "," 56,960 "," 55,137 "," 56,590 "," 58,168 "," 61,143 "," 65,595 "
209031209,Eltham," 54,752 "," 56,728 "," 58,655 "," 60,025 "," 62,058 "," 71,703 "," 73,537 "," 76,100 "," 77,665 "," 81,062 "
209031210,Hurstbridge," 48,954 "," 53,364 "," 55,808 "," 55,236 "," 57,348 "," 60,614 "," 64,328 "," 64,770 "," 64,987 "," 66,356 "
209031211,Kinglake," 44,882 "," 46,711 "," 48,674 "," 50,564 "," 52,719 "," 54,736 "," 55,351 "," 57,678 "," 60,060 "," 63,142 "
209031212,Panton Hill - St Andrews," 48,009 "," 48,745 "," 50,492 "," 50,419 "," 54,265 "," 65,113 "," 67,733 "," 67,959 "," 69,380 "," 74,891 "
209031213,Plenty - Yarrambat," 54,606 "," 57,025 "," 58,178 "," 59,405 "," 61,470 "," 75,485 "," 76,605 "," 77,325 "," 78,461 "," 81,752 "
209031214,Research - North Warrandyte," 53,337 "," 55,958 "," 58,242 "," 58,942 "," 62,845 "," 80,252 "," 80,022 "," 82,584 "," 81,861 "," 92,267 "
209031215,Wattle Glen - Diamond Creek," 53,751 "," 55,982 "," 58,722 "," 59,703 "," 61,940 "," 66,328 "," 67,861 "," 71,015 "," 72,466 "," 75,022 "
209041216,Bundoora - North," 45,952 "," 47,008 "," 48,434 "," 49,125 "," 52,109 "," 57,350 "," 58,002 "," 59,058 "," 60,234 "," 64,469 "
209041217,Bundoora - West," 41,558 "," 43,578 "," 45,073 "," 45,748 "," 46,922 "," 49,199 "," 49,934 "," 51,452 "," 52,945 "," 54,986 "
209041220,Mill Park - North," 47,355 "," 49,127 "," 50,871 "," 51,705 "," 53,166 "," 55,414 "," 55,766 "," 57,379 "," 58,670 "," 60,905 "
209041221,Mill Park - South," 46,859 "," 47,934 "," 48,854 "," 50,090 "," 51,275 "," 52,937 "," 53,450 "," 54,853 "," 55,970 "," 58,232 "
209041223,Thomastown," 40,164 "," 41,612 "," 43,212 "," 44,316 "," 45,760 "," 46,271 "," 46,844 "," 48,652 "," 49,435 "," 51,776 "
209041224,Wallan," 50,772 "," 52,622 "," 54,135 "," 55,547 "," 56,206 "," 57,263 "," 58,514 "," 60,320 "," 61,927 "," 62,550 "
209041225,Whittlesea," 48,807 "," 50,795 "," 51,318 "," 52,576 "," 54,522 "," 59,104 "," 60,902 "," 62,267 "," 63,320 "," 65,036 "
209041431,Epping - East," 44,774 "," 46,641 "," 49,607 "," 50,749 "," 51,397 "," 51,025 "," 52,269 "," 54,657 "," 55,866 "," 56,980 "
209041432,Epping - South," 43,025 "," 43,767 "," 45,580 "," 45,867 "," 47,871 "," 48,076 "," 48,538 "," 49,697 "," 50,724 "," 52,592 "
209041433,Epping (Vic.) - West," 47,952 "," 48,478 "," 50,360 "," 51,111 "," 53,910 "," 53,635 "," 54,340 "," 55,628 "," 56,958 "," 60,236 "
209041435,South Morang - North," 52,193 "," 54,061 "," 55,083 "," 56,619 "," 57,797 "," 59,799 "," 61,331 "," 62,516 "," 64,596 "," 66,999 "
209041436,South Morang - South," 49,383 "," 51,029 "," 52,760 "," 54,365 "," 55,669 "," 56,210 "," 57,115 "," 58,516 "," 60,035 "," 61,590 "
209041437,Wollert," 48,509 "," 50,802 "," 51,903 "," 51,609 "," 53,759 "," 53,776 "," 55,685 "," 57,068 "," 57,883 "," 60,330 "
209041527,Doreen - North," 53,300 "," 54,542 "," 56,257 "," 58,018 "," 59,571 "," 61,180 "," 63,051 "," 64,549 "," 66,900 "," 68,522 "
209041528,Doreen - South," 53,758 "," 55,625 "," 58,294 "," 58,720 "," 60,005 "," 58,609 "," 60,458 "," 63,406 "," 64,881 "," 66,508 "
209041529,Lalor - East," 38,764 "," 40,613 "," 41,795 "," 42,848 "," 44,759 "," 44,948 "," 44,894 "," 46,273 "," 47,943 "," 49,780 "
209041530,Lalor - West," 42,906 "," 43,817 "," 45,312 "," 46,715 "," 48,175 "," 49,348 "," 50,157 "," 51,088 "," 53,441 "," 54,964 "
209041531,Mernda - North," 51,206 "," 53,557 "," 55,508 "," 55,830 "," 57,794 "," 57,172 "," 58,631 "," 60,874 "," 62,225 "," 64,338 "
209041532,Mernda - South," 51,329 "," 52,810 "," 54,195 "," 54,741 "," 56,864 "," 57,541 "," 58,614 "," 60,702 "," 62,213 "," 63,985 "
210011226,Airport West," 53,423 "," 55,912 "," 58,506 "," 60,083 "," 62,051 "," 61,750 "," 63,614 "," 65,203 "," 67,716 "," 71,112 "
210011227,Essendon Airport," 24,967 "," 27,711 "," 22,966 "," 39,293 ", np ," 41,698 "," 42,311 "," 53,550 "," 57,960 ", np 
210011228,Keilor," 50,052 "," 52,595 "," 54,647 "," 55,777 "," 57,487 "," 66,524 "," 67,058 "," 68,728 "," 71,111 "," 73,529 "
210011230,Niddrie - Essendon West," 54,472 "," 56,809 "," 58,938 "," 61,999 "," 65,985 "," 68,234 "," 69,842 "," 72,052 "," 75,462 "," 80,261 "
210011231,Strathmore," 56,605 "," 58,830 "," 60,499 "," 62,589 "," 65,179 "," 75,681 "," 78,169 "," 80,324 "," 82,492 "," 87,201 "
210011533,Avondale Heights," 48,412 "," 50,900 "," 52,317 "," 54,105 "," 55,990 "," 59,896 "," 61,263 "," 63,256 "," 65,920 "," 68,074 "
210011534,Keilor East," 50,094 "," 52,397 "," 54,478 "," 56,274 "," 58,582 "," 62,236 "," 64,029 "," 65,744 "," 68,953 "," 73,127 "
210021232,Gisborne," 54,063 "," 55,891 "," 58,611 "," 59,654 "," 63,203 "," 69,608 "," 71,287 "," 73,321 "," 73,990 "," 77,294 "
210021233,Macedon," 56,050 "," 58,258 "," 60,690 "," 61,638 "," 69,572 "," 83,317 "," 85,413 "," 86,386 "," 89,832 "," 103,532 "
210021234,Riddells Creek," 52,335 "," 53,730 "," 54,717 "," 56,191 "," 57,815 "," 63,475 "," 65,478 "," 66,738 "," 67,953 "," 71,364 "
210021235,Romsey," 48,501 "," 51,057 "," 52,984 "," 53,594 "," 56,260 "," 61,740 "," 62,897 "," 66,173 "," 66,802 "," 70,590 "
210031236,Coburg North," 48,379 "," 51,037 "," 53,697 "," 55,518 "," 58,265 "," 58,377 "," 59,765 "," 62,415 "," 64,829 "," 68,855 "
210031237,Fawkner," 39,906 "," 41,577 "," 42,163 "," 43,312 "," 47,003 "," 48,759 "," 49,438 "," 50,646 "," 52,283 "," 56,054 "
210031439,Gowanbrae," 56,112 "," 59,224 "," 61,648 "," 59,771 "," 61,196 "," 66,169 "," 69,262 "," 71,224 "," 69,962 "," 71,606 "
210031440,Hadfield," 47,166 "," 49,025 "," 50,497 "," 52,379 "," 54,129 "," 54,667 "," 55,772 "," 57,704 "," 60,254 "," 62,056 "
210031535,Glenroy - East," 43,271 "," 44,639 "," 46,376 "," 46,733 "," 50,209 "," 50,129 "," 51,099 "," 52,365 "," 54,489 "," 58,379 "
210031536,Glenroy - West," 44,710 "," 45,896 "," 47,004 "," 47,636 "," 50,648 "," 52,005 "," 52,294 "," 53,859 "," 55,968 "," 59,046 "
210031537,Oak Park," 52,914 "," 54,130 "," 55,535 "," 58,093 "," 61,363 "," 61,771 "," 62,973 "," 64,862 "," 67,346 "," 71,527 "
210031538,Pascoe Vale," 53,318 "," 56,185 "," 59,378 "," 61,338 "," 63,846 "," 62,215 "," 64,726 "," 67,480 "," 70,255 "," 73,072 "
210041240,Sunbury," 51,137 "," 53,005 "," 56,178 "," 56,488 "," 57,407 "," 61,200 "," 62,387 "," 66,395 "," 68,225 "," 68,899 "
210041539,Diggers Rest," 52,739 "," 54,619 "," 57,814 "," 58,639 "," 60,057 "," 56,298 "," 58,513 "," 60,977 "," 62,561 "," 63,970 "
210041540,Sunbury - South," 50,064 "," 52,585 "," 54,175 "," 56,249 "," 57,077 "," 58,938 "," 60,471 "," 62,149 "," 64,476 "," 66,317 "
210041541,Sunbury - West," 50,462 "," 52,807 "," 55,917 "," 56,255 "," 57,326 "," 58,776 "," 60,148 "," 62,899 "," 63,661 "," 64,535 "
210051242,Broadmeadows," 34,922 "," 36,296 "," 36,152 "," 36,715 "," 40,056 "," 41,338 "," 41,377 "," 42,126 "," 43,594 "," 45,716 "
210051243,Campbellfield - Coolaroo," 35,435 "," 35,707 "," 37,155 "," 37,678 "," 38,450 "," 44,133 "," 42,603 "," 43,787 "," 44,312 "," 45,568 "
210051245,Gladstone Park - Westmeadows," 48,252 "," 49,166 "," 51,616 "," 52,112 "," 53,034 "," 55,130 "," 55,782 "," 58,078 "," 58,976 "," 60,364 "
210051246,Greenvale - Bulla," 50,093 "," 51,654 "," 54,069 "," 55,286 "," 56,955 "," 61,753 "," 62,776 "," 65,089 "," 66,633 "," 68,835 "
210051247,Meadow Heights," 36,983 "," 37,904 "," 39,246 "," 40,034 "," 41,298 "," 42,690 "," 42,195 "," 42,938 "," 44,129 "," 45,593 "
210051248,Melbourne Airport," 45,698 "," 48,493 "," 50,700 "," 43,082 "," 46,946 "," 63,367 "," 58,604 "," 60,019 "," 61,272 "," 58,284 "
210051250,Tullamarine," 49,837 "," 51,599 "," 52,864 "," 53,649 "," 55,105 "," 54,432 "," 55,035 "," 57,427 "," 58,373 "," 59,550 "
210051441,Craigieburn - Central," 45,718 "," 46,365 "," 47,641 "," 47,887 "," 49,085 "," 50,519 "," 50,970 "," 51,745 "," 52,517 "," 54,198 "
210051442,Craigieburn - North," 47,995 "," 49,167 "," 51,085 "," 51,494 "," 52,901 "," 53,890 "," 55,015 "," 56,597 "," 58,042 "," 59,399 "
210051443,Craigieburn - South," 46,657 "," 47,479 "," 48,568 "," 48,754 "," 49,831 "," 51,422 "," 51,735 "," 53,266 "," 54,394 "," 55,827 "
210051445,Mickleham - Yuroke," 51,686 "," 51,369 "," 53,018 "," 52,923 "," 53,968 "," 58,344 "," 56,689 "," 57,462 "," 57,655 "," 59,815 "
210051542,Craigieburn - North West," 48,183 "," 48,555 "," 49,473 "," 49,700 "," 50,469 "," 51,807 "," 51,984 "," 53,202 "," 54,467 "," 56,034 "
210051543,Craigieburn - West," 46,122 "," 46,883 "," 48,355 "," 48,456 "," 49,545 "," 51,704 "," 52,567 "," 53,744 "," 54,428 "," 55,907 "
210051544,Roxburgh Park (South) - Somerton," 41,942 "," 43,959 "," 45,925 "," 44,979 "," 46,219 "," 49,344 "," 49,729 "," 51,443 "," 51,837 "," 53,425 "
210051545,Roxburgh Park - North," 40,207 "," 40,426 "," 41,555 "," 41,641 "," 42,102 "," 47,085 "," 46,571 "," 47,726 "," 48,370 "," 49,623 "
211011251,Bayswater," 46,480 "," 48,747 "," 50,128 "," 50,974 "," 52,611 "," 53,053 "," 53,801 "," 55,176 "," 56,541 "," 58,747 "
211011254,Knoxfield - Scoresby," 47,171 "," 48,557 "," 50,921 "," 51,441 "," 52,514 "," 56,365 "," 57,548 "," 59,293 "," 61,041 "," 62,063 "
211011255,Lysterfield," 52,618 "," 54,743 "," 56,336 "," 58,064 "," 61,851 "," 70,817 "," 73,163 "," 74,694 "," 74,704 "," 81,776 "
211011256,Rowville - Central," 48,324 "," 50,125 "," 51,920 "," 53,556 "," 55,881 "," 57,959 "," 59,092 "," 60,513 "," 62,208 "," 64,420 "
211011257,Rowville - North," 49,739 "," 52,075 "," 53,111 "," 54,817 "," 58,038 "," 60,451 "," 62,305 "," 63,489 "," 66,178 "," 68,929 "
211011258,Rowville - South," 50,855 "," 52,632 "," 53,535 "," 54,292 "," 55,953 "," 62,507 "," 62,947 "," 64,537 "," 65,691 "," 67,543 "
211011259,Wantirna," 45,202 "," 46,633 "," 48,658 "," 49,487 "," 49,673 "," 55,815 "," 56,386 "," 58,045 "," 59,241 "," 60,689 "
211011260,Wantirna South," 45,166 "," 46,780 "," 48,434 "," 48,547 "," 50,125 "," 57,990 "," 58,185 "," 59,417 "," 60,421 "," 64,184 "
211011446,Boronia," 47,251 "," 49,399 "," 51,495 "," 52,664 "," 53,984 "," 53,502 "," 54,508 "," 56,891 "," 58,258 "," 59,749 "
211011447,Ferntree Gully - North," 48,040 "," 49,642 "," 51,491 "," 52,898 "," 54,713 "," 55,182 "," 55,968 "," 58,219 "," 59,905 "," 61,790 "
211011448,Ferntree Gully (South) - Upper Ferntree Gully," 47,983 "," 50,092 "," 52,396 "," 53,005 "," 54,471 "," 55,913 "," 56,935 "," 59,194 "," 60,884 "," 62,784 "
211011449,The Basin," 50,222 "," 51,067 "," 54,777 "," 54,926 "," 57,769 "," 58,754 "," 58,618 "," 61,125 "," 63,175 "," 66,918 "
211021261,Donvale - Park Orchards," 49,510 "," 50,735 "," 52,268 "," 52,567 "," 53,881 "," 74,679 "," 75,986 "," 78,713 "," 78,100 "," 83,728 "
211021262,Warrandyte - Wonga Park," 53,528 "," 55,011 "," 57,434 "," 58,489 "," 60,636 "," 84,572 "," 85,186 "," 94,427 "," 90,959 "," 94,880 "
211031263,Bayswater North," 49,799 "," 51,111 "," 52,676 "," 54,585 "," 56,749 "," 57,167 "," 57,974 "," 59,631 "," 61,805 "," 63,677 "
211031265,Croydon Hills - Warranwood," 50,942 "," 52,995 "," 55,075 "," 56,783 "," 58,603 "," 64,248 "," 65,682 "," 67,832 "," 70,099 "," 73,282 "
211031266,Ringwood," 46,507 "," 48,466 "," 50,678 "," 51,776 "," 53,539 "," 55,576 "," 57,113 "," 59,768 "," 61,460 "," 63,807 "
211031267,Ringwood East," 50,089 "," 51,592 "," 53,897 "," 54,648 "," 56,782 "," 59,634 "," 61,563 "," 63,773 "," 65,038 "," 67,699 "
211031268,Ringwood North," 50,871 "," 52,794 "," 54,948 "," 55,931 "," 57,454 "," 65,681 "," 66,727 "," 68,584 "," 70,422 "," 73,039 "
211031450,Croydon - East," 48,572 "," 50,598 "," 52,390 "," 53,290 "," 54,707 "," 55,422 "," 55,935 "," 57,864 "," 59,727 "," 61,936 "
211031451,Croydon - West," 48,341 "," 49,419 "," 51,471 "," 51,778 "," 53,565 "," 58,963 "," 58,978 "," 62,047 "," 63,265 "," 65,679 "
211031452,Croydon South," 49,436 "," 51,460 "," 52,306 "," 55,331 "," 57,323 "," 57,474 "," 58,928 "," 59,437 "," 63,760 "," 66,193 "
211041269,Forest Hill," 44,304 "," 46,295 "," 47,612 "," 48,184 "," 49,212 "," 56,483 "," 56,628 "," 58,615 "," 59,311 "," 62,091 "
211041270,Mitcham (Vic.)," 50,575 "," 52,436 "," 53,085 "," 55,386 "," 56,704 "," 62,711 "," 63,591 "," 64,881 "," 67,858 "," 70,471 "
211041271,Nunawading," 48,710 "," 50,193 "," 50,739 "," 52,902 "," 55,797 "," 59,633 "," 61,194 "," 62,927 "," 65,288 "," 68,949 "
211041272,Vermont," 46,792 "," 47,530 "," 50,431 "," 52,489 "," 54,548 "," 59,742 "," 60,289 "," 62,722 "," 65,752 "," 68,974 "
211041273,Vermont South," 42,108 "," 42,348 "," 44,201 "," 44,218 "," 46,240 "," 60,036 "," 58,893 "," 61,084 "," 61,284 "," 63,090 "
211051274,Belgrave - Selby," 50,180 "," 51,296 "," 53,055 "," 54,641 "," 58,157 "," 63,507 "," 64,071 "," 65,774 "," 68,237 "," 71,245 "
211051275,Chirnside Park," 48,992 "," 51,146 "," 53,497 "," 53,444 "," 55,611 "," 58,614 "," 61,042 "," 63,007 "," 64,100 "," 67,262 "
211051276,Healesville - Yarra Glen," 42,791 "," 44,776 "," 47,104 "," 47,636 "," 49,660 "," 53,056 "," 54,286 "," 57,805 "," 58,395 "," 60,395 "
211051277,Kilsyth," 47,445 "," 49,591 "," 51,353 "," 53,778 "," 55,829 "," 54,667 "," 56,356 "," 58,569 "," 59,799 "," 61,830 "
211051278,Lilydale - Coldstream," 47,516 "," 49,666 "," 52,006 "," 53,609 "," 54,896 "," 57,606 "," 61,958 "," 64,709 "," 66,526 "," 68,196 "
