agent_name,agent_company,price,address1,address2,bed,bath,parking,floor_space,longitude,latitude
Nakita Vonhoff,Movement Realty,NEW LISTING,"6-8 Whiting Street,",BEACHMERE QLD 4510,4 Beds,2 Baths,2 Parking,"1,308m²",153.0401884,-27.1404536
Jackson Wales,Ray White Ipswich,"$789,000+","73 Melrose Drive,",FLINDERS VIEW QLD 4305,3 Beds,1 Bath,3 Parking,"1,000m²",152.789841,-27.6490892
Steve Song,Belle Property Bulimba,Auction,"72 Ryhill Road,",SUNNYBANK HILLS QLD 4109,3 Beds,2 Baths,5 Parking,607m²,153.0414244,-27.5803062
Clinton Viertel,Belle Property Redcliffe,For Sale,"705/89 Landsborough Avenue,",SCARBOROUGH QLD 4020,3 Beds,2 Baths,2 Parking,209m²,153.1139901,-27.2061225
Sasa Peci,All Properties Group,FOR SALE,"17 Hinchcliffe Street,",TANAH MERAH QLD 4128,4 Beds,2 Baths,4 Parking,641m²,153.1772567,-27.677533
Sachin Arora,First National Real Estate Neilson Partners Berwick,"$675,000 - $740,000","18 Jessica Drive,",HAMPTON PARK VIC 3976,3 Beds,2 Baths,2 Parking,622m²,145.2812774,-38.0485863
Gary Ormrod,Kay & Burton Stonnington,Private Sale,"22/85 Alexandra Avenue,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,2 Parking,119m²,145.0043656,-37.8348123
Ben Knight,Harcourts Solutions Group,For Sale,"12 Wattletree Place,",THE GAP QLD 4061,4 Beds,2 Baths,2 Parking,744m²,152.9367807,-27.4352955
Sameer Gutta,Harcourts Inner East,For Sale,"10 Lake Borumba Street,",LOGAN RESERVE QLD 4133,4 Beds,2 Baths,2 Parking,463m²,153.1127495,-27.6947171
Liam Wolff,Strud Property,FOR SALE,"15 Taree Road,",FERNVALE QLD 4306,6 Beds,3 Baths,6 Parking,"42,130m²",152.6310698,-27.4599276
Paul Zervos,Ausrealty - South Hurstville,Offers Invited,"40b East Crescent,",HURSTVILLE GROVE NSW 2220,4 Beds,2 Baths,2 Parking,461m²,151.0963475,-33.9760126
Lee Doyle,Stone Real Estate North Lakes | Kallangur,"ALL OFFERS FROM $1,675,000","29 Aliza Place,",HAZELDEAN QLD 4515,4 Beds,2 Baths,8 Parking,1.05ha,152.5431967,-27.035318
Chris Philp,Stone Real Estate Macarthur,"$2,200,000 - $2,300,000","110 Mount View Close,",RAZORBACK NSW 2571,4 Beds,3 Baths,6 Parking,2.02ha,,
Damian Freeman,Ray White Ipswich,"Offers Over $599,000","45 Swanbank Road,",FLINDERS VIEW QLD 4305,3 Beds,1 Bath,4 Parking,955m²,152.798589,-27.6497713
Alex Jordan,McGrath Paddington,"$2,350,000 - $2,550,000","63 Herbert Street,",PADDINGTON QLD 4064,4 Beds,2 Baths,2 Parking,405m²,152.9960224,-27.461983
