agent_name,agent_company,price,address1,address2,bed,bath,parking,floor_space,longitude,latitude
Lachlan Sylvia,Ballarat Real Estate,"$480,000 - $520,000","12 Recreation Road,",MOUNT CLEAR VIC 3350,3 Beds,1 Bath,2 Parking,611m²,143.8691599,-37.6036722
Andrew Murphy,Bendigo Ballarat Real Estate,"$400,000 - $430,000","30 Blue Gum Drive,",STRATHDALE VIC 3550,2 Beds,1 Bath,1 Parking,318m²,144.3192243,-36.7774628
Andrew Murphy,Bendigo Ballarat Real Estate,"$600,000 - $650,000","15 Goldsmiths Road,",EAGLEHAWK VIC 3556,3 Beds,1 Bath,2 Parking,"4,331m²",144.268601,-36.7013
Simon Bogdanov,Oslo Property,"$1,495,000 - $1,625,000","58 Zeally Bay Road,",TORQUAY VIC 3228,3 Beds,1 Bath,2 Parking,570m²,144.3226794,-38.3304456
Alex Stepnell,Ballarat Real Estate,"$220,000 - $235,000","6/47 Yarrowee Street,",REDAN VIC 3350,1 Bed,1 Bath,1 Parking,74m²,143.8429766,-37.59274
Manny Gonzalez,Elders Real Estate Albury Wodonga & Howlong,"$559,000","29 Murphy Street,",WODONGA VIC 3690,4 Beds,2 Baths,2 Parking,874m²,146.878548,-36.121154
Will Munro,Ray White Ballarat,"$350,000 - $385,000","5 Exchange Street,",NEWINGTON VIC 3350,3 Beds,1 Bath,2 Parking,650m²,143.83238465,-37.564483499999994
Toby Gray,Bendigo Real Estate,"$640,000 - $670,000","3 Giudice Street,",KANGAROO FLAT VIC 3555,5 Beds,3 Baths,3 Parking,798m²,144.2375475,-36.7872494
James Worssam,Great Ocean Road Real Estate Aireys Inlet,"$960,000 - $1,050,000","22 Great Ocean Road,",AIREYS INLET VIC 3231,3 Beds,1 Bath,2 Parking,482m²,144.0943026,-38.4648692
Celeste Vasile,Acton | Belle Property South Perth & Victoria Park,Expressions of Interest,"3/37 Butler Lane,",EAST VICTORIA PARK WA 6101,3 Beds,1 Bath,2 Parking,188m²,115.9046419,-31.9790017
Andrew Brown,Surf Coast Real Estate,"$865,000","3/43 Murray Street,",ANGLESEA VIC 3230,3 Beds,1 Bath,1 Parking,252m²,144.1835369,-38.411433
Beverley Higgs,RT Edgar Macedon Ranges,"$1,550,000 - $1,600,000","669 Sandy Creek,",RIDDELLS CREEK VIC 3431,4 Beds,2 Baths,4 Parking,4.17ha,144.6564482,-37.4213826
Matt Lancashire,Ray White New Farm,Auction,"195 Gregory Terrace,",SPRING HILL QLD 4000,4 Beds,3 Baths,3 Parking,460m²,153.0227691,-27.4586716
Kerryn Wildenburg,Jellis Craig Woodend,"$1,475,000 - $1,575,000","106 Boundary Road,",WOODEND VIC 3442,6 Beds,3 Baths,2 Parking,1.62ha,144.5553267,-37.3503202
Nathanial Briggs,Ray White Kyneton,"$1,275,000","9 Halpern Road,",WOODEND VIC 3442,4 Beds,2 Baths,4 Parking,"20,234m²",144.4951062,-37.3765252
Nathanial Briggs,Ray White Kyneton,"$835,000 - $875,000","2A Wright Street,",ELPHINSTONE VIC 3448,3 Beds,1 Bath,4 Parking,"6,326m²",144.3322991,-37.1016492
Tash Guinea,Ray White Ballarat,"$530,000 - $560,000","19 Beartooth Drive,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,375m²,143.7962219,-37.5881163
Rahul Goyal,Ray White Albury Central,"$529,000 - $549,000","31 Edinburgh Circuit,",WEST WODONGA VIC 3690,3 Beds,1 Bath,2 Parking,725m²,146.8606923,-36.1178805
Kim McQueen,McQueen Real Estate,"$1,150,000- $1,250,000","11 Tenth Street,",HEPBURN SPRINGS VIC 3461,3 Beds,2 Baths,2 Parking,"1,264m²",144.137449,-37.3117024
Tristan Wright,Elders Real Estate Albury Wodonga & Howlong,"$410,000","9 Cooper Court,",RUTHERGLEN VIC 3685,3 Beds,1 Bath,1 Parking,727m²,146.4671982,-36.0596518
Jamie Maynard,Elders Real Estate Albury Wodonga & Howlong,"$630,000","28 Bradbury Lane,",BARANDUDA VIC 3691,4 Beds,2 Baths,2 Parking,462m²,146.9378888,-36.1805471
Mikaela Gould,Stean Nicholls Real Estate,Expressions of Interest Closing 3rd Oct at 12noon,"40 Clarendon Avenue,",WODONGA VIC 3690,6 Beds,3 Baths,3 Parking,"3,082m²",146.869637,-36.1486372
Narenna Bloomfield,Broadhurst Property,"$1,000,000 - $1,100,000","462 Zig Zag Road,",DRUMMOND NORTH VIC 3446,3 Beds,1 Bath,4 Parking,"159,600m²",144.3411663,-37.2024229
Natarsha Sewell,First National Real Estate Bonnici & Associates,"$649,000","8 Hook Court,",WODONGA VIC 3690,4 Beds,2 Baths,2 Parking,660m²,146.8442775,-36.1171703
Terry Hill,Professionals Wodonga,"$559,000","378 Lawrence Street,",WODONGA VIC 3690,3 Beds,2 Baths,2 Parking,651m²,146.87344,-36.1224217
Kirrily Evans,Evans Realty Group,"$1,270,000 - $1,320,000","7 Glenton Court,",GISBORNE VIC 3437,4 Beds,2 Baths,2 Parking,"1,752m²",144.586342,-37.5032661
Bawa Singh,Buxton Bendigo,"$530,000 - $570,000","1/100 St Aidans Road,",KENNINGTON VIC 3550,3 Beds,2 Baths,1 Parking,360m²,144.3031028,-36.7648753
Giovanni Piazza,Ray White Ballarat,"$360,000 - $395,000","1322 Geelong Road,",MOUNT CLEAR VIC 3350,2 Beds,1 Bath,1 Parking,470m²,143.8701046,-37.6104821
Jeanette Laffan,Nutrien Harcourts Kilmore,"$1,120,000 to $1,160,000","3243 Epping-Kilmore Road,",WANDONG VIC 3758,4 Beds,2 Baths,2 Parking,"4,000m²",145.0211204,-37.3506017
Carmen Christie,First National Warragul,"$960,000","97 Victoria Street,",WARRAGUL VIC 3820,4 Beds,2 Baths,3 Parking,405m²,145.9305491,-38.1579479
Kellie Saddington,Soulful Living Real Estate,"$1,685,000","172 Melba Parade,",ANGLESEA VIC 3230,4 Beds,2 Baths,1 Parking,604m²,144.1781285,-38.4260376
Agnes Gaspar,My Place Real Estate,"$549,000 to $569,000","A/13 Victoria Street,",ROCKINGHAM WA 6168,2 Beds,1 Bath,1 Parking,382m²,115.7403918,-32.2697749
Jamie Maynard,Elders Real Estate Albury Wodonga & Howlong,"$635,000","17 Valerian Terrace,",BARANDUDA VIC 3691,4 Beds,2 Baths,− Parking,716m²,146.9492719,-36.1845422
Ayman Al-Omar,CENTURY 21 SOUTHWEST FAIRFIELD,CONTACT AGENT,"117 Victoria Street,",SMITHFIELD NSW 2164,8 Beds,4 Baths,2 Parking,556m²,150.934937,-33.8506651
Michael Brooks,McKean McGregor Real Estate Pty Ltd,"$580,000 - $610,000","49 Yellowgum Drive,",EPSOM VIC 3551,4 Beds,2 Baths,2 Parking,527m²,144.3261356,-36.6907154
Michael Brooks,McKean McGregor Real Estate Pty Ltd,"$830,000 - $850,000","22 Olinda Street,",QUARRY HILL VIC 3550,4 Beds,2 Baths,1 Parking,688m²,144.2792014,-36.770476
Lisa Fowler,Mount Macedon Realty,Contact Agent,"7 Misty View Court,",GISBORNE VIC 3437,6 Beds,4 Baths,6 Parking,1.39ha,144.634699,-37.5005271
Ben Knight,Harcourts Solutions Group,For Sale,"2/25 Victoria Terrace,",GORDON PARK QLD 4031,2 Beds,1 Bath,1 Parking,116m²,153.0252009,-27.4127117
James Waterhouse,Ballarat Real Estate,"$485,000 - $525,000","5 Killeen Avenue,",BLACK HILL VIC 3350,3 Beds,1 Bath,1 Parking,708m²,143.8679454,-37.5455547
Leon Kowski,PJ Murphy Real Estate,"$579,000","17 Bassett Street,",WODONGA VIC 3690,3 Beds,2 Baths,2 Parking,372m²,146.8857647,-36.1302957
Lara Walsh,PJ Murphy Real Estate,"$449,000 - $469,000","6 Jason Circuit,",WODONGA VIC 3690,3 Beds,1 Bath,1 Parking,675m²,146.8520004,-36.1224439
Narenna Bloomfield,Broadhurst Property,"$850,000 - $925,000","22 Metcalfe Redesdale Road,",METCALFE VIC 3448,3 Beds,2 Baths,6 Parking,"40,500m²",144.422535,-37.0985999
Christine Ford,Elders Real Estate Euroa,CONTACT AGENT,"24-26 Maxfield Street,",LONGWOOD VIC 3665,2 Beds,2 Baths,4 Parking,"4,040m²",145.4155934,-36.8025518
Robert Broadhurst,Broadhurst Property,"$1,495,000","83 Palmer Crescent,",NEWHAM VIC 3442,4 Beds,3 Baths,2 Parking,"8,083m²",144.5901931,-37.3084598
Mark Williams,Ray White Ballarat,"$750,000 - $825,000","24 Cuzens Road,",ALFREDTON VIC 3350,4 Beds,2 Baths,2 Parking,893m²,143.7874389,-37.5592841
Linda Currie,Team Real Estate,"$490,000 - $535,000","35 Ellis Street,",FLORA HILL VIC 3550,3 Beds,1 Bath,1 Parking,587m²,144.2958118,-36.7748813
Mikaela Gould,Stean Nicholls Real Estate,Expressions Of Interest Close 2nd October at 12pm,"33 Avondale Drive,",WODONGA VIC 3690,4 Beds,3 Baths,3 Parking,"1,033m²",146.8693912,-36.1484691
Elijah  Tong,Ballarat Real Estate,"$565,000 - $615,000","85 Presentation Boulevard,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,318m²,143.7909325,-37.5700121
Kim McQueen,McQueen Real Estate,"$2,200,000 - $2,300,000","22 Collins Road,",GLENLYON VIC 3461,4 Beds,3 Baths,2 Parking,"2,934m²",144.2411018,-37.3011509
Kerryn Wildenburg,Jellis Craig Woodend,"$1,090,000","22 Dalray Crescent,",NEW GISBORNE VIC 3438,5 Beds,2 Baths,2 Parking,"1,203m²",144.6012716,-37.4660407
Jo Mackenzie,Get Leased & Get Sold Properties,"$369,000","4/5 Cook Pl,",WEST WODONGA VIC 3690,2 Beds,1 Bath,1 Parking,293m²,146.8563643,-36.1355049
Jenny Gould,District Property Group,"$540,000 - $590,000","16 Hills Road,",GOUGHS BAY VIC 3723,3 Beds,1 Bath,2 Parking,839m²,146.0652086,-37.1857447
Christine Ford,Elders Real Estate Euroa,CONTACT AGENT,"332 Euroa-Mansfield Road,",EUROA VIC 3666,4 Beds,3 Baths,5 Parking,16.19ha,145.5736064,-36.775051
Jenny Gould,District Property Group,"$700,000-$770,000","25 Honey Bee Run,",GOUGHS BAY VIC 3723,3 Beds,2 Baths,6 Parking,847m²,146.0685967,-37.1780606
Heidi McAtee,HM ESTATES,"Suit Buyers From $1,600,000","42 Mackie Street,",VICTORIA PARK WA 6100,3 Beds,1 Bath,3 Parking,"1,014m²",115.89207490100402,-31.974002849999998
Lucinda Morgan,Leading Property Group,"$799,000","145 Hume Street,",WODONGA VIC 3690,4 Beds,2 Baths,2 Parking,855m²,146.8858446,-36.123191
Brooke Lal,B.HOME REAL ESTATE,"$640,000 to $680,0000","7 Lyn Court,",WANDONG VIC 3758,3 Beds,1 Bath,2 Parking,814m²,145.0310245,-37.3597754
Kim McQueen,McQueen Real Estate,"$820,000 - $850,000","7 Stanbridge Street,",DAYLESFORD VIC 3460,3 Beds,3 Baths,2 Parking,681m²,144.1434151,-37.3458032
Tarun Sethi,McGrath Strathfield,Forthcoming Auction,"22 Victoria Street,",STRATHFIELD NSW 2135,4 Beds,3 Baths,4 Parking,695m²,151.08227879625156,-33.8799935
Kirrily Evans,Evans Realty Group,"$1,390,000 - $1,475,000","19 Buckland Boulevard,",GISBORNE VIC 3437,4 Beds,2 Baths,2 Parking,"1,257m²",144.6048927,-37.5057353
Bawa Singh,Buxton Bendigo,"$480,000 - $520,000","24 Moran Street,",LONG GULLY VIC 3550,4 Beds,1 Bath,2 Parking,650m²,144.2692819,-36.7460658
Brad Katnich,Acton | Belle Property South Perth & Victoria Park,New To Market.,"45 Canavan Crescent,",MANNING WA 6152,4 Beds,2 Baths,2 Parking,454m²,115.8713239,-32.0104273
Brendan Allen,Elders Real Estate Euroa,"$650,000","9 Railway Street,",EUROA VIC 3666,4 Beds,2 Baths,2 Parking,"1,000m²",145.572409,-36.7461712
Judith Stevens,Raine & Horne Kyneton,Auction - Saturday 26th October 11:00am,"279 Kyneton-Metcalfe Road,",METCALFE VIC 3448,2 Beds,2 Baths,4 Parking,"210,436m²",144.4282517,-37.106307
Leon Kowski,PJ Murphy Real Estate,"$1,200,000 - $1,300,000","39 Fitzpatrick Drive,",STAGHORN FLAT VIC 3691,4 Beds,2 Baths,7 Parking,"18,500m²",146.952734,-36.2224855
Brendan Allen,Elders Real Estate Euroa,Auction 5th October at 11am,"3 Atkins Street,",EUROA VIC 3666,3 Beds,1 Bath,2 Parking,886m²,145.577023,-36.7565934
John Currell,Sell Buy Rent,"$420,000","14 OSPREY CIRCUIT,",WODONGA VIC 3690,3 Beds,1 Bath,2 Parking,480m²,146.8544078,-36.1284454
John Currell,Sell Buy Rent,"$560,000","23 CAMPASPE STREET,",WODONGA VIC 3690,4 Beds,2 Baths,2 Parking,699m²,146.8541444,-36.116478
Leon Parker,Belle Property Surry Hills,Auction 28th September,"26 Rose Street,",CHIPPENDALE NSW 2008,4 Beds,1 Bath,1 Parking,123m²,151.1952991,-33.8860405
Angelo Bouras,Richardson & Wrench Elizabeth Bay / Potts Point,Auction,"1311/226 Victoria Street,",POTTS POINT NSW 2011,2 Beds,2 Baths,2 Parking,91m²,,
Chris Heneric,High Rise Realty,"Offers Over $450,000","104/11 Bowen Bridge Road,",HERSTON QLD 4006,1 Bed,1 Bath,1 Parking,89m²,153.029491,-27.4465182
Max Anderson,Anderson Real Estate & Associates pty ltd,"$549,000 - $603,000","4 Argyle Street,",MILDURA VIC 3500,4 Beds,1 Bath,2 Parking,"1,146m²",142.1488444,-34.1936168
Anna Cavill,The Cavill GROUP,Auction 5th October 4pm,"11 Victoria Avenue,",WEST PYMBLE NSW 2073,3 Beds,2 Baths,2 Parking,999m²,151.126092,-33.765095
Andy Tunbridge,Biggin Scott Ballarat & Creswick,"$390,000 - $420,000","14 Gardiner Street,",CRESWICK VIC 3363,3 Beds,1 Bath,2 Parking,909m²,143.8966061,-37.4370881
Ken Grech,Raine & Horne Gisborne,"$650,000 - $695,000","27 Gap Road,",RIDDELLS CREEK VIC 3431,3 Beds,2 Baths,1 Parking,311m²,144.6438717,-37.416919
Richard  Gent,Ballarat Real Estate,"$680,000 - $720,000","1 Adair Street,",REDAN VIC 3350,3 Beds,2 Baths,4 Parking,701m²,143.8328523,-37.5723126
Josie Borg,RT Edgar Macedon Ranges,"$1,200,000 - $1,300,000","43 Wallaby Run,",GISBORNE VIC 3437,4 Beds,2 Baths,2 Parking,550m²,144.5944304,-37.4808018
Tom Shaw,Biggin Scott Daylesford,"$710,000 - $730,000","37 Jamieson Street,",DAYLESFORD VIC 3460,3 Beds,1 Bath,1 Parking,423m²,144.147406,-37.3352345
Jo Thornton,Ray White Ballarat,"$480,000 - $525,000","319 Eureka Street,",BALLARAT EAST VIC 3350,3 Beds,1 Bath,1 Parking,476m²,143.8762996,-37.5653206
Kirrily Evans,Evans Realty Group,"$665,000 - $695,000","7/54 Stephen Street,",GISBORNE VIC 3437,2 Beds,1 Bath,1 Parking,242m²,144.5847859,-37.4892519
Charlee Macpherson,Bacchus Marsh Real Estate,Expressions of Interest,"267 Main Street,",BACCHUS MARSH VIC 3340,4 Beds,1 Bath,2 Parking,"1,964m²",144.4473068,-37.6773093
Davey Hong,McGrath Northbridge,Contact Agent,"5003/438 Victoria Avenue,",CHATSWOOD NSW 2067,3 Beds,2 Baths,2 Parking,178m²,,
Stu Brien,Stone Real Estate Ballarat,"$275,000 - $300,000","26 Wright Street,",SKIPTON VIC 3361,1 Bed,1 Bath,2 Parking,567m²,143.3632672,-37.6871815
Lynne Payne,Bound Real Estate,"$2,650,000-$2,800,000","24 Kronks Lane,",WOODEND VIC 3442,4 Beds,3 Baths,4 Parking,2.12ha,144.540057,-37.3268188
Cameron Brooks,First National Real Estate Bonnici & Associates,"ESR: $550,000 - $570,000","108 Drage Road,",WEST WODONGA VIC 3690,3 Beds,2 Baths,2 Parking,649m²,146.8452764,-36.1168003
Mitchell Burgess,Ballarat Real Estate,"$595,000 - $645,000","15 Elise Road,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,476m²,143.7980615,-37.5787906
Dominic Morrison,Ballarat Real Estate,"$1,075,000 - $1,125,000","35 Whites Road,",CARDIGAN VIC 3352,4 Beds,2 Baths,4 Parking,"8,093m²",143.7411357,-37.5261787
Will Munro,Ray White Ballarat,"$649,000 - $679,000","240 York Street,",BALLARAT EAST VIC 3350,3 Beds,2 Baths,2 Parking,928m²,143.8854151,-37.5697878
Laura Campbell,Bendigo Real Estate,"$795,000 - $860,000","6 Lemon Gum Drive,",STRATHFIELDSAYE VIC 3551,4 Beds,2 Baths,5 Parking,870m²,144.3410309,-36.7995416
Garry Chisholm,Ray White (Port Fairy),"$430,000","115 Verdon Street,",WARRNAMBOOL VIC 3280,3 Beds,1 Bath,1 Parking,736m²,142.5175978,-38.3867092
Christian West,PPD Real Estate,"Buyers Guide $1,500,000","15/88 Barcom Avenue,",DARLINGHURST NSW 2010,2 Beds,2 Baths,1 Parking,111m²,151.2253892,-33.878191
Casey Healey,Century 21 Novocastrian (Newcastle),Price Guide on Request,"5 Victoria Crescent,",NEW LAMBTON HEIGHTS NSW 2305,4 Beds,3 Baths,1 Parking,768m²,151.6854135,-32.9367901
John Currell,Sell Buy Rent,"$519,000","76 GORDON STREET,",WODONGA VIC 3690,2 Beds,2 Baths,1 Parking,114m²,146.8839879,-36.1300441
Heidi Bourke,Sell Buy Rent,"$370,000","5/2 MCKIBBIN COURT,",WODONGA VIC 3690,3 Beds,2 Baths,1 Parking,223m²,146.8966949,-36.1276632
Narenna Bloomfield,Broadhurst Property,"$950,000 - $1,040,000","1 Kyneton Metcalfe Road,",METCALFE VIC 3448,3 Beds,1 Bath,4 Parking,"4,857m²",144.4282517,-37.106307
Helen Low,Acton | Belle Property South Perth & Victoria Park,high $700's to low $800's,"11 Lowan loop,",KARAWARA WA 6152,3 Beds,1 Bath,6 Parking,645m²,115.8838832,-32.0077821
Zach Murray,Amir Prestige Group,Auction,"52 Boomerang Crescent,",SORRENTO QLD 4217,5 Beds,5 Baths,4 Parking,"1,138m²",,
Lars Foged,Hudson McHugh,Auction,"21 Victoria Road,",MARRICKVILLE NSW 2204,3 Beds,2 Baths,− Parking,189m²,151.1671942,-33.9055849
Damian Larkin,Ballarat Real Estate,"$695,000 - $750,000","607 Ascot Street South,",REDAN VIC 3350,3 Beds,1 Bath,3 Parking,"1,153m²",143.8421619,-37.5729691
Matt Leonard,Buxton Bendigo,"$1,000,000 - $1,100,000","19 The Terrace,",KENNINGTON VIC 3550,4 Beds,3 Baths,2 Parking,609m²,144.3046912,-36.7777852
Esther Kay,Zirky Real Estate,UNDER OFFER,"4 Blue Hills Rise,",BRIGHT VIC 3741,2 Beds,1 Bath,4 Parking,751m²,146.9636641,-36.7230532
Dean Mifsud,Ray White Ballarat,"$900,000 - $990,000","437 Sebastopol - Smythesdale Road,",ROSS CREEK VIC 3351,3 Beds,2 Baths,6 Parking,"80,937m²",143.8112901,-37.612101
Elijah  Tong,Ballarat Real Estate,"$620,000 - $660,000","30 Innsbruck Road,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,518m²,143.7934809,-37.5855435
Jamie Brown,Booth Real Estate,$12M - $13M,"3 Victoria Avenue,",UNLEY PARK SA 5061,5 Beds,3 Baths,6 Parking,"3,865m²",138.5987048,-34.9630536
Lexi Anastassiou,Marshall White Boroondara,"$1,349,000","14 Buller Terrace,",TEMPLESTOWE LOWER VIC 3107,4 Beds,2 Baths,2 Parking,725m²,145.10936,-37.7670492
Nathanial Briggs,Ray White Kyneton,"$1,550,000","52 Caroline Chisholm Drive,",KYNETON VIC 3444,3 Beds,1 Bath,2 Parking,"4,025m²",144.4679672,-37.2515469
Oscar Currell,Ballarat Real Estate,"$500,000 - $550,000","5 Ningana Street,",ALFREDTON VIC 3350,3 Beds,1 Bath,2 Parking,814m²,143.8078262,-37.5522183
Ed Rafter,The Agency Victoria,"$2,050,000 - $2,250,000","2/1 Irving Road,",TOORAK VIC 3142,2 Beds,2 Baths,2 Parking,237m²,145.0191647,-37.8468395
Lexley Sewell,First National Real Estate Bonnici & Associates,"$1,850,000","21 John Boyes Drive,",BARANDUDA VIC 3691,4 Beds,2 Baths,2 Parking,1.41ha,146.9559619,-36.1723813
Connor  Tait,Tait Real Estate & Co,"$609,000","32 Willow Drive,",WANGARATTA VIC 3677,5 Beds,2 Baths,4 Parking,"1,014m²",146.2917444,-36.3500587
Lachlan Sylvia,Ballarat Real Estate,"$700,000 - $750,000","29 Obrien Drive,",ALFREDTON VIC 3350,4 Beds,2 Baths,4 Parking,680m²,143.7935637,-37.566252
Dominic Morrison,Ballarat Real Estate,"$1,100,000 - $1,150,000","24 Skirkas Road,",BUNINYONG VIC 3357,4 Beds,2 Baths,2 Parking,3.23ha,143.8892752,-37.6694356
Dean Mifsud,Ray White Ballarat,"$510,000 - $560,000","1439 Glenelg Highway,",SMYTHESDALE VIC 3351,4 Beds,1 Bath,4 Parking,"20,234m²",143.6893678,-37.6402123
Hayden Youngson,Bendigo Ballarat Real Estate,"$890,000 - $970,000","60 Arnold Street,",BENDIGO VIC 3550,4 Beds,2 Baths,2 Parking,519m²,144.2831546,-36.7498563
Tony Stockdale,First National Real Estate Bonnici & Associates,"$799,000","4A Albert Road,",BEECHWORTH VIC 3747,2 Beds,2 Baths,2 Parking,520m²,146.6927205,-36.3645813
Bronwyn Williams-Harris,Tweed Sutherland First National,"$440,000 - $455,000","61 Drought Street,",BENDIGO VIC 3550,2 Beds,1 Bath,1 Parking,400m²,144.2770725,-36.7507288
Kerryn Wildenburg,Jellis Craig Woodend,"$2,100,000","115 Zig Zag Road,",NULLA VALE VIC 3435,3 Beds,2 Baths,2 Parking,49.66ha,144.7445949,-37.150346
Peter Mussared,TCC Real Estate Macedon,"$1,250,000","981 Gap Road,",CHEROKEE VIC 3434,3 Beds,2 Baths,4 Parking,"3,119m²",144.6377659,-37.3890102
Wayne Baker,McGrath Geelong | Newtown,"$660,000","6 Jordyn Close,",WINCHELSEA VIC 3241,4 Beds,2 Baths,4 Parking,562m²,144.0021291,-38.2335681
David Morrison,Ballarat Real Estate,"$640,000 - $670,000","211 Doveton Street South,",BALLARAT CENTRAL VIC 3350,4 Beds,2 Baths,3 Parking,500m²,143.8547105,-37.5619023
Victoria Freeman,Oberon Lifestyle Properties,For Sale,"6/66-70 Queen Street,",OBERON NSW 2787,3 Beds,1 Bath,2 Parking,300m²,,
Jenny Stewart,Jellis Craig Woodend,"$850,000","1/21 Camp Street,",TRENTHAM VIC 3458,3 Beds,2 Baths,2 Parking,478m²,144.3247849,-37.390553
Adam Vranesic,Ballarat Real Estate,"$400,000 - $440,000","49 Vale Street,",ALFREDTON VIC 3350,3 Beds,1 Bath,2 Parking,519m²,143.8161314,-37.5550206
Kim McQueen,McQueen Real Estate,"$1,400,000 - $1,500,000","20 Torpys Lane,",GLENLYON VIC 3461,3 Beds,2 Baths,2 Parking,"24,000m²",144.2249706,-37.2806094
Brent Speechley,Mclachlan Partners,Contact Agent,"23 Victoria Street,",NORAH HEAD NSW 2263,2 Beds,1 Bath,1 Parking,346m²,151.5651458,-33.2834103
Christine Ford,Elders Real Estate Euroa,UNDER OFFER,"15 Railway Street,",EUROA VIC 3666,3 Beds,1 Bath,2 Parking,552m²,145.572409,-36.7461712
Sarah Warren,McGrath Sans Souci,"Auction guide $1,600,000","130 Queen Victoria Street,",BEXLEY NSW 2207,3 Beds,1 Bath,1 Parking,505m²,151.1227483,-33.9525637
Ken Grech,Raine & Horne Gisborne,"$1,400,000 - $1,500,000","209 Markham Road,",GISBORNE VIC 3437,3 Beds,2 Baths,4 Parking,"45,000m²",144.6554397,-37.4684788
Elijah  Tong,Ballarat Real Estate,"$230,000 - $250,000","3/4 Warratta Avenue,",DELACOMBE VIC 3356,1 Bed,1 Bath,1 Parking,68m²,143.8222184,-37.5821412
Lachlan Sylvia,Ballarat Real Estate,"$880,000 - $900,000","204 Neill Street,",SOLDIERS HILL VIC 3350,4 Beds,1 Bath,2 Parking,455m²,143.8608635473426,-37.550922850000006
Lachlan Sylvia,Ballarat Real Estate,"$500,000 - $550,000","163 Majestic Way,",WINTER VALLEY VIC 3358,4 Beds,2 Baths,2 Parking,448m²,143.7946177,-37.582099
Will Munro,Ray White Ballarat,"$780,000 - $840,000","15 Hill Top Road,",BROWN HILL VIC 3350,4 Beds,2 Baths,2 Parking,680m²,143.919042,-37.556562
Chloe Wilson,Ray White Ballarat,"$375,000 - $410,000","5/30 Albion Street,",SEBASTOPOL VIC 3356,3 Beds,1 Bath,1 Parking,271m²,143.8339303,-37.5953901
Chloe Wilson,Ray White Ballarat,"$400,000 $440,000","1 Whidburn Place,",SEBASTOPOL VIC 3356,3 Beds,2 Baths,2 Parking,302m²,143.8280372,-37.5938534
Jason York,RT Edgar Macedon Ranges,"$1,550,000 - $1,650,000","148 Eatons Road,",KERRIE VIC 3434,3 Beds,2 Baths,2 Parking,7.69ha,144.6677998,-37.389624
Kirrily Evans,Evans Realty Group,"$1,170,000 - $1,250,000","7 Scentbark Way,",GISBORNE VIC 3437,4 Beds,2 Baths,2 Parking,815m²,144.5973064,-37.5068403
Hayden Youngson,Bendigo Ballarat Real Estate,"$500,000 - $550,000","11 Daniel Drive,",GOLDEN SQUARE VIC 3555,3 Beds,1 Bath,2 Parking,800m²,144.2323599,-36.7804726
Darcy Bennett,Hayden Real Estate - Anglesea,"$1,250,000 - $1,325,000","11 Hillcrest Road,",ANGLESEA VIC 3230,3 Beds,2 Baths,1 Parking,670m²,144.1798475,-38.4039041
Darcy Bennett,Hayden Real Estate - Anglesea,"$1,250,000 - $1,300,000","28 Camp Road,",ANGLESEA VIC 3230,4 Beds,2 Baths,1 Parking,395m²,144.1878099,-38.3901531
Kim McQueen,McQueen Real Estate,"$2,500,000 - $2,700,000","33A West Street,",DAYLESFORD VIC 3460,4 Beds,2 Baths,2 Parking,"2,111m²",144.137404,-37.3442123
David Smith-Cameron,BresicWhitney Inner East,Contact agent,"154 Victoria Street,",BEACONSFIELD NSW 2015,2 Beds,1 Bath,− Parking,132m²,151.2005557,-33.9125709
Leanne Pearman,Jellis Craig Woodend,"$735,000","2/14 Carlisle Street,",WOODEND VIC 3442,2 Beds,2 Baths,1 Parking,357m²,144.5354395,-37.3472578
Ken Grech,Raine & Horne Gisborne,"$700,000 - $740,000","20 Calthorpe Street,",GISBORNE VIC 3437,3 Beds,1 Bath,4 Parking,719m²,144.5932316,-37.4917747
Jenny Stewart,Jellis Craig Woodend,"$980,000","99 Racecourse Road,",REDESDALE VIC 3444,2 Beds,2 Baths,1 Parking,27ha,144.4956366,-37.0346835
Heidi Bourke,Sell Buy Rent,"$685,000","5 WEATHERS PLACE,",WODONGA VIC 3690,4 Beds,2 Baths,2 Parking,540m²,146.8891612,-36.1399056
Tash Guinea,Ray White Ballarat,"$545,000 - $575,000","43 Orion Street,",SEBASTOPOL VIC 3356,3 Beds,2 Baths,2 Parking,604m²,143.8443376,-37.585582
Tash Guinea,Ray White Ballarat,"$630,000 - $660,000","13A Brophy Street,",BROWN HILL VIC 3350,3 Beds,2 Baths,2 Parking,753m²,143.8955132,-37.5538725
Jo Hughes,Project Delivery.Co,"$490,000","2B Lawry Street,",WODONGA VIC 3690,2 Beds,2 Baths,1 Parking,164m²,146.8813792,-36.1373509
Mark Vorstenbosch,Biggin Scott Ballarat & Creswick,"$649,000","6 Ludbrook Court,",BROWN HILL VIC 3350,4 Beds,2 Baths,2 Parking,485m²,143.9030218,-37.5579564
Riley O'Keefe,Tweed Sutherland First National,"$360,000 - $390,000","1/45 Church Street,",KANGAROO FLAT VIC 3555,2 Beds,1 Bath,1 Parking,296m²,144.2457485,-36.79545
