Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Kim Britt,Buxton Real Estate Brighton,"$1,125.00","7A Denton Street,",BRIGHTON EAST VIC 3187,4 Beds,2 Baths,1 Parking,,melbourne-vic,42.52948,-83.78022
Cara Brand,RT Edgar Mount Eliza | Mount Martha,$550.00,"3/20 Beatty Parade,",MORNINGTON VIC 3931,2 Beds,1 Bath,1 Parking,,melbourne-vic,-38.26667,145.01667
Jayde Cashion,Jellis Craig Fitzroy,"$1,200.00","9/1 St David Street,",FITZROY VIC 3065,3 Beds,2 Baths,2 Parking,,melbourne-vic,-37.79839,144.97833
Ysabella Dimitrakopoulos,BigginScott Richmond,"$1,600 weekly","55 Davison Street,",RICHMOND VIC 3121,3 Beds,2 Baths,2 Parking,,melbourne-vic,37.55376,-77.46026
Leanne Stahmer,Haven Agents,"$1,250 per week","1/24 Middleton Street,",BLACK ROCK VIC 3193,3 Beds,2 Baths,1 Parking,,melbourne-vic,,
Daniel Henderson,Haven Agents,$575 per week,"2/20 Shirley Grove,",ST KILDA EAST VIC 3183,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Kerttu  Luik,Buxton St Kilda,$550.00,"1b/21 The Esplanade,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8676,144.98099
Mikaele Horsnell,Harcourts Melbourne City,$550 per week,"16/30 Russell Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic,-37.814,144.96332
Steven Biggins,RT Edgar Glen Eira,$730.00,"2/33 Hartington Street,",ELSTERNWICK VIC 3185,3 Beds,2 Baths,1 Parking,,melbourne-vic,-37.89949,145.04099
Jay Jacob-Green,Buxton St Kilda,$575.00,"4/8 Westbury Street,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8676,144.98099
Kate Humphreys,Marshall White Stonnington,"$1,800.00","7/676 Toorak Road,",MALVERN VIC 3144,4 Beds,2 Baths,2 Parking,,melbourne-vic,-37.8613,145.03776
Michelle De Luca,HEDLEY REAL ESTATE,$570 weekly,"5 Delmore Crescent,",GLEN WAVERLEY VIC 3150,3 Beds,2 Baths,3 Parking,,melbourne-vic,17.38298,-100.87314
Natalie Subotsch,Gotham Property,$450,"306/399 Bourke Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Melanie Podrebarac,McGrath Northcote,$620 per week,"704/8 Breavington Way,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.76667,145.0
Monique Wood,Buxton Oakleigh,"$1,085.00","18 Hilda Street,",MALVERN EAST VIC 3145,4 Beds,2 Baths,− Parking,,melbourne-vic,,
Gloria Ye,AZeta Real Estate,"$1,250/W UNFURNISHED","7006/228 La Trobe St,",MELBOURNE VIC 3000,3 Beds,2 Baths,1 Parking,,melbourne-vic,17.38298,-100.87314
Xavier George,Thomson,$730 per week,"5/656 Toorak Road,",TOORAK VIC 3142,3 Beds,1 Bath,1 Parking,,melbourne-vic,33.47069,-82.50457
Lauren Harris,The Agency Victoria,$650 per week,"401/14 Paper Trail,",ALPHINGTON VIC 3078,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.0,145.0
Ysabella Dimitrakopoulos,BigginScott Richmond,"$1,300 weekly","112 Kent Street,",RICHMOND VIC 3121,3 Beds,3 Baths,1 Parking,,melbourne-vic,37.55376,-77.46026
Preet Sandhu,BigginScott Richmond,$850 weekly,"480 Victoria Parade,",EAST MELBOURNE VIC 3002,3 Beds,1 Bath,− Parking,,melbourne-vic,37.55376,-77.46026
Adam Todisco,Buxton Camberwell,$810.00,"2/1 Vannam Drive,",ASHWOOD VIC 3147,3 Beds,2 Baths,2 Parking,,melbourne-vic,-37.84205,145.0694
Hansel  Tjahyadi,Home apartments,"$1,500","5801/260 City Road,",SOUTHBANK VIC 3006,3 Beds,2 Baths,1 Parking,,melbourne-vic,,
Leasing Concierge,Gary Peer,$400 weekly,"9/15 Mozart Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic,51.1303,5.45952
Jonathan Boon,Kay & Burton Stonnington,$675 Per Week,"7/21-25 Powlett Street,",EAST MELBOURNE VIC 3002,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8613,145.03776
Adam Todisco,Buxton Camberwell,$590.00,"2/204 Lawrence Road,",MOUNT WAVERLEY VIC 3149,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.84205,145.0694
Samantha Lee,Gary Peer,$520 weekly,"2/6 Yorston Ct,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,,melbourne-vic,51.1303,5.45952
Brad Graham,Gary Peer,$450 weekly,"G32/11 Bond Street,",CAULFIELD NORTH VIC 3161,1 Bed,1 Bath,1 Parking,,melbourne-vic,51.1303,5.45952
Grace Morley,Marshall White Stonnington,$650.00,"8/16 Fulton Street,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.8613,145.03776
Mikaele Horsnell,Harcourts Melbourne City,$575 per week,"406/422 Collins Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,,melbourne-vic,-37.814,144.96332
Conny Yang,Waterdale Property Agent Pty Ltd,$630 per Week,"2008/65 Dudley Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Hansel  Tjahyadi,Home apartments,$650,"1606/260 City,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Hansel  Tjahyadi,Home apartments,$595,"203/260 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Hansel  Tjahyadi,Home apartments,$650,"1601/260 City Road,",SOUTHBANK VIC 3006,1 Bed,1 Bath,− Parking,,melbourne-vic,,
David Hua,Ray White Oakleigh,$350,"4/798 Warrigal Road,",MALVERN EAST VIC 3145,1 Bed,1 Bath,1 Parking,,melbourne-vic,,
Joanne Pearson,McGrath St Kilda,$750 pw,"6A Victoria Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8676,144.98099
Stephanie Pascoe,Hodges Real Estate Sandringham,"$1,550.00","53 Marriage Road,",BRIGHTON EAST VIC 3187,4 Beds,3 Baths,2 Parking,,melbourne-vic,,
Andrew D'Aprano,NICOLE GERVASI PROPERTY GROUP,$800 per week,"8 Orford Street,",MOONEE PONDS VIC 3039,3 Beds,2 Baths,2 Parking,,melbourne-vic,,
Jodie Bond,Buxton Real Estate Sandringham,$695.00,"32 Bridport Street,",SOUTH MELBOURNE VIC 3205,2 Beds,1 Bath,− Parking,,melbourne-vic,,
Conny Yang,Waterdale Property Agent Pty Ltd,$730 per Week,"2316/65 Dudley Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,melbourne-vic,,
Manuel Flores,Gotham Property,$390,"310/408 Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Ismaeel Hussain,Samma Real Estate,$2000 per week,"102/35 Spring Street,",MELBOURNE VIC 3000,3 Beds,2 Baths,2 Parking,,melbourne-vic,17.38298,-100.87314
Hannah Zadeh,McGrath St Kilda,$740 pw,"205E/93-119 Kavanagh Street,",SOUTHBANK VIC 3006,2 Beds,2 Baths,− Parking,,melbourne-vic,-37.8676,144.98099
Abie Munz,McGrath St Kilda,$560 pw,"305B/21 Inkerman Street,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.8676,144.98099
